"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 04-ARIZONA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,AZ,AZ Total Mig - US & For,121141,237363,5902351"
"97,AZ,AZ Total Mig - US,117628,231452,5797943"
"98,AZ,AZ Total Mig - Foreign,3513,5911,104407"
"04,AZ,AZ Non-Migrants,1810226,4086665,102703805"
"06,CA,CALIFORNIA,32697,71651,1622949"
"48,TX,TEXAS,6582,13300,308573"
"17,IL,ILLINOIS,5312,9729,298696"
"53,WA,WASHINGTON,4709,8719,228700"
"35,NM,NEW MEXICO,4340,9202,145918"
"08,CO,COLORADO,4301,8110,220874"
"32,NV,NEVADA,4188,8351,204685"
"12,FL,FLORIDA,3987,7227,206651"
"36,NY,NEW YORK,3823,6847,194586"
"57,FR,Foreign,3513,5911,104407"
"26,MI,MICHIGAN,3468,6199,161119"
"39,OH,OHIO,3303,5744,148583"
"41,OR,OREGON,2714,5110,123711"
"49,UT,UTAH,2528,5782,97786"
"27,MN,MINNESOTA,2416,4172,152438"
"42,PA,PENNSYLVANIA,2390,4123,125000"
"55,WI,WISCONSIN,2166,3748,107060"
"34,NJ,NEW JERSEY,1856,3527,121694"
"18,IN,INDIANA,1825,3316,92391"
"51,VA,VIRGINIA,1820,3501,122856"
"29,MO,MISSOURI,1639,2984,95194"
"25,MA,MASSACHUSETTS,1519,2538,84044"
"37,NC,NORTH CAROLINA,1403,2730,63905"
"13,GA,GEORGIA,1312,2636,73562"
"19,IA,IOWA,1309,2179,61087"
"24,MD,MARYLAND,1142,2089,71137"
"20,KS,KANSAS,1120,2143,55462"
"16,ID,IDAHO,1073,2143,43557"
"22,LA,LOUISIANA,1003,1955,33097"
"31,NE,NEBRASKA,993,1735,49387"
"40,OK,OKLAHOMA,961,1924,34881"
"47,TN,TENNESSEE,865,1651,46991"
"15,HI,HAWAII,796,1653,32028"
"30,MT,MONTANA,753,1314,26639"
"09,CT,CONNECTICUT,713,1228,50889"
"02,AK,ALASKA,691,1309,30908"
"45,SC,SOUTH CAROLINA,567,1175,31243"
"21,KY,KENTUCKY,564,1059,24779"
"46,SD,SOUTH DAKOTA,553,986,21385"
"56,WY,WYOMING,534,981,21961"
"01,AL,ALABAMA,491,980,21175"
"05,AR,ARKANSAS,484,947,17922"
"28,MS,MISSISSIPPI,484,979,18387"
"38,ND,NORTH DAKOTA,448,770,17575"
"33,NH,NEW HAMPSHIRE,437,747,21004"
"23,ME,MAINE,391,646,16419"
"44,RI,RHODE ISLAND,261,447,14120"
"50,VT,VERMONT,227,355,8591"
"10,DE,DELAWARE,176,340,10867"
"54,WV,WEST VIRGINIA,176,304,8411"
"11,DC,DISTRICT OF COLUMBIA,118,167,7067"
"11,,,,,"
