"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 19-IOWA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,IA,IA Total Mig - US & For,29438,57642,1171556"
"97,IA,IA Total Mig - US,28152,55946,1150185"
"98,IA,IA Total Mig - Foreign,1286,1696,21371"
"19,IA,IA Non-Migrants,1081606,2394023,56147798"
"17,IL,ILLINOIS,4396,8450,173598"
"31,NE,NEBRASKA,3168,6350,119693"
"27,MN,MINNESOTA,2036,3857,81953"
"06,CA,CALIFORNIA,1679,3544,74640"
"29,MO,MISSOURI,1633,3261,58889"
"55,WI,WISCONSIN,1380,2611,58982"
"48,TX,TEXAS,1354,2824,51265"
"57,FR,Foreign,1286,1696,21371"
"12,FL,FLORIDA,1023,1848,38305"
"08,CO,COLORADO,905,1737,38689"
"46,SD,SOUTH DAKOTA,884,1682,31889"
"04,AZ,ARIZONA,862,1665,34883"
"20,KS,KANSAS,782,1609,38076"
"26,MI,MICHIGAN,588,1267,27221"
"18,IN,INDIANA,499,1050,23376"
"39,OH,OHIO,456,888,19980"
"37,NC,NORTH CAROLINA,445,838,18441"
"36,NY,NEW YORK,442,868,18577"
"51,VA,VIRGINIA,397,783,17639"
"53,WA,WASHINGTON,384,838,16428"
"47,TN,TENNESSEE,350,704,14172"
"42,PA,PENNSYLVANIA,309,642,16582"
"13,GA,GEORGIA,301,706,15614"
"40,OK,OKLAHOMA,296,628,10670"
"32,NV,NEVADA,277,551,12600"
"22,LA,LOUISIANA,265,560,7978"
"05,AR,ARKANSAS,246,500,9278"
"41,OR,OREGON,231,458,7358"
"24,MD,MARYLAND,196,380,10855"
"28,MS,MISSISSIPPI,196,440,6020"
"21,KY,KENTUCKY,190,423,8138"
"49,UT,UTAH,190,471,6691"
"38,ND,NORTH DAKOTA,189,349,7782"
"34,NJ,NEW JERSEY,180,343,8783"
"45,SC,SOUTH CAROLINA,166,320,6365"
"25,MA,MASSACHUSETTS,158,296,9411"
"01,AL,ALABAMA,140,276,5479"
"35,NM,NEW MEXICO,123,273,6327"
"16,ID,IDAHO,114,245,4114"
"56,WY,WYOMING,113,233,4344"
"02,AK,ALASKA,108,217,3910"
"30,MT,MONTANA,104,209,3409"
"09,CT,CONNECTICUT,78,156,10032"
"15,HI,HAWAII,75,156,2416"
"33,NH,NEW HAMPSHIRE,53,101,2148"
"23,ME,MAINE,49,87,1846"
"54,WV,WEST VIRGINIA,44,86,1413"
"11,DC,DISTRICT OF COLUMBIA,33,37,1651"
"10,DE,DELAWARE,26,56,797"
"50,VT,VERMONT,21,37,673"
"44,RI,RHODE ISLAND,18,36,806"
"44,,,,,"
