"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 30-MONTANA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,MT,MT Total Mig - US & For,16731,31463,671956"
"97,MT,MT Total Mig - US,16218,30599,659443"
"98,MT,MT Total Mig - Foreign,513,864,12514"
"30,MT,MT Non-Migrants,334289,704894,15108337"
"06,CA,CALIFORNIA,2122,4171,114358"
"53,WA,WASHINGTON,1907,3639,68607"
"08,CO,COLORADO,907,1661,37287"
"16,ID,IDAHO,891,1834,32134"
"56,WY,WYOMING,800,1474,28207"
"41,OR,OREGON,766,1398,30576"
"04,AZ,ARIZONA,638,1222,26198"
"48,TX,TEXAS,625,1265,24132"
"57,FR,Foreign,513,864,12514"
"27,MN,MINNESOTA,487,826,22079"
"32,NV,NEVADA,458,902,16153"
"12,FL,FLORIDA,456,818,23294"
"38,ND,NORTH DAKOTA,442,816,16806"
"49,UT,UTAH,404,867,16108"
"02,AK,ALASKA,320,588,13220"
"55,WI,WISCONSIN,302,535,11869"
"46,SD,SOUTH DAKOTA,301,541,9839"
"26,MI,MICHIGAN,296,509,9746"
"17,IL,ILLINOIS,283,509,10522"
"42,PA,PENNSYLVANIA,256,407,7175"
"39,OH,OHIO,238,405,11163"
"51,VA,VIRGINIA,226,419,15023"
"36,NY,NEW YORK,224,365,9283"
"37,NC,NORTH CAROLINA,212,416,7864"
"13,GA,GEORGIA,185,368,7670"
"35,NM,NEW MEXICO,182,349,7521"
"29,MO,MISSOURI,181,355,6118"
"40,OK,OKLAHOMA,154,334,5267"
"19,IA,IOWA,151,278,6249"
"18,IN,INDIANA,143,259,4637"
"31,NE,NEBRASKA,132,287,4782"
"20,KS,KANSAS,126,273,4451"
"47,TN,TENNESSEE,125,255,4173"
"25,MA,MASSACHUSETTS,118,184,4870"
"22,LA,LOUISIANA,108,220,3413"
"15,HI,HAWAII,105,207,4001"
"24,MD,MARYLAND,102,203,4825"
"45,SC,SOUTH CAROLINA,100,172,3381"
"33,NH,NEW HAMPSHIRE,83,124,2407"
"34,NJ,NEW JERSEY,81,140,3765"
"09,CT,CONNECTICUT,78,108,2301"
"21,KY,KENTUCKY,75,124,2318"
"01,AL,ALABAMA,72,136,2610"
"28,MS,MISSISSIPPI,70,136,2586"
"05,AR,ARKANSAS,64,133,1879"
"50,VT,VERMONT,60,92,1534"
"23,ME,MAINE,51,76,1902"
"54,WV,WEST VIRGINIA,36,77,1192"
"10,DE,DELAWARE,29,53,1799"
"11,DC,DISTRICT OF COLUMBIA,27,31,889"
"44,RI,RHODE ISLAND,19,38,1259"
"44,,,,,"
