"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 37-NORTHCAROLINA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,NC,NC Total Mig - US & For,139107,277483,6472745"
"97,NC,NC Total Mig - US,133582,267527,6334427"
"98,NC,NC Total Mig - Foreign,5525,9956,138318"
"37,NC,NC Non-Migrants,2944131,6549942,151806080"
"12,FL,FLORIDA,15452,30691,690831"
"51,VA,VIRGINIA,13751,27964,686239"
"36,NY,NEW YORK,12314,25000,546489"
"45,SC,SOUTH CAROLINA,9721,18742,393880"
"06,CA,CALIFORNIA,7211,15765,388247"
"13,GA,GEORGIA,6971,14210,359551"
"42,PA,PENNSYLVANIA,5786,10721,274279"
"34,NJ,NEW JERSEY,5724,12240,317807"
"57,FR,Foreign,5525,9956,138318"
"48,TX,TEXAS,5130,10723,232662"
"24,MD,MARYLAND,5113,10387,271087"
"39,OH,OHIO,5052,9105,238161"
"47,TN,TENNESSEE,3216,6237,140894"
"25,MA,MASSACHUSETTS,3014,6110,170207"
"26,MI,MICHIGAN,2909,5477,133650"
"17,IL,ILLINOIS,2840,5622,173411"
"22,LA,LOUISIANA,2137,4437,75566"
"09,CT,CONNECTICUT,2036,4092,134010"
"18,IN,INDIANA,1753,3388,81210"
"01,AL,ALABAMA,1671,3345,71977"
"54,WV,WEST VIRGINIA,1586,2831,52708"
"04,AZ,ARIZONA,1578,3253,79469"
"08,CO,COLORADO,1500,2947,68961"
"21,KY,KENTUCKY,1378,2722,55804"
"53,WA,WASHINGTON,1322,2666,57684"
"29,MO,MISSOURI,1223,2433,67676"
"55,WI,WISCONSIN,1070,1998,49513"
"28,MS,MISSISSIPPI,1034,2122,38348"
"27,MN,MINNESOTA,910,1763,44467"
"33,NH,NEW HAMPSHIRE,824,1685,41442"
"20,KS,KANSAS,745,1625,38498"
"40,OK,OKLAHOMA,680,1370,23162"
"32,NV,NEVADA,669,1328,28519"
"15,HI,HAWAII,605,1462,28911"
"23,ME,MAINE,602,1142,23026"
"44,RI,RHODE ISLAND,590,1304,29189"
"19,IA,IOWA,553,1063,23865"
"11,DC,DISTRICT OF COLUMBIA,551,906,24763"
"10,DE,DELAWARE,533,1007,26859"
"41,OR,OREGON,525,942,20615"
"05,AR,ARKANSAS,519,1047,19630"
"50,VT,VERMONT,433,805,15035"
"02,AK,ALASKA,416,965,15372"
"35,NM,NEW MEXICO,395,789,18684"
"49,UT,UTAH,390,881,16281"
"31,NE,NEBRASKA,324,666,17072"
"16,ID,IDAHO,215,451,7308"
"30,MT,MONTANA,198,374,6218"
"56,WY,WYOMING,150,262,6219"
"38,ND,NORTH DAKOTA,132,242,4572"
"46,SD,SOUTH DAKOTA,131,220,4400"
"46,,,,,"
