"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 45-SOUTHCAROLINA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,SC,SC Total Mig - US & For,67556,134566,3423377"
"97,SC,SC Total Mig - US,65196,130218,3356452"
"98,SC,SC Total Mig - Foreign,2360,4348,66924"
"45,SC,SC Non-Migrants,1439000,3164198,68894188"
"37,NC,NORTH CAROLINA,11028,22163,518542"
"12,FL,FLORIDA,7129,14152,313197"
"13,GA,GEORGIA,6315,12645,301668"
"36,NY,NEW YORK,4396,8561,200377"
"51,VA,VIRGINIA,3859,7765,223061"
"42,PA,PENNSYLVANIA,2594,4967,145904"
"39,OH,OHIO,2548,4674,221242"
"34,NJ,NEW JERSEY,2453,4960,174360"
"57,FR,Foreign,2360,4348,66924"
"06,CA,CALIFORNIA,2285,4796,117570"
"48,TX,TEXAS,2110,4570,98953"
"24,MD,MARYLAND,2039,3908,103478"
"47,TN,TENNESSEE,1642,3205,75784"
"26,MI,MICHIGAN,1349,2687,68134"
"25,MA,MASSACHUSETTS,1215,2400,68619"
"17,IL,ILLINOIS,1157,2210,74598"
"09,CT,CONNECTICUT,1040,2068,62490"
"22,LA,LOUISIANA,892,1853,31483"
"01,AL,ALABAMA,872,1772,37012"
"18,IN,INDIANA,847,1661,43071"
"21,KY,KENTUCKY,731,1473,38337"
"54,WV,WEST VIRGINIA,699,1321,32851"
"28,MS,MISSISSIPPI,581,1229,21873"
"53,WA,WASHINGTON,578,1310,31982"
"04,AZ,ARIZONA,567,1198,25192"
"08,CO,COLORADO,558,1111,26294"
"29,MO,MISSOURI,548,1035,26154"
"55,WI,WISCONSIN,464,879,59551"
"33,NH,NEW HAMPSHIRE,386,765,17807"
"40,OK,OKLAHOMA,366,779,12472"
"15,HI,HAWAII,320,834,13593"
"20,KS,KANSAS,300,615,13041"
"32,NV,NEVADA,294,594,14495"
"44,RI,RHODE ISLAND,288,613,14375"
"27,MN,MINNESOTA,287,532,19605"
"05,AR,ARKANSAS,238,465,9810"
"23,ME,MAINE,229,433,10919"
"10,DE,DELAWARE,206,425,10400"
"19,IA,IOWA,205,376,8353"
"41,OR,OREGON,196,396,7342"
"50,VT,VERMONT,194,338,7623"
"49,UT,UTAH,183,408,8740"
"02,AK,ALASKA,181,442,7305"
"35,NM,NEW MEXICO,169,364,8386"
"11,DC,DISTRICT OF COLUMBIA,161,249,10068"
"31,NE,NEBRASKA,132,279,7164"
"16,ID,IDAHO,96,206,3518"
"30,MT,MONTANA,86,169,2288"
"46,SD,SOUTH DAKOTA,66,134,2740"
"38,ND,NORTH DAKOTA,65,139,2176"
"56,WY,WYOMING,52,90,2458"
"56,,,,,"
