"2005-2006 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 46-SOUTHDAKOTA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,SD,SD Total Mig - US & For,11650,22307,488739"
"97,SD,SD Total Mig - US,11263,21645,479441"
"98,SD,SD Total Mig - Foreign,387,662,9298"
"46,SD,SD Non-Migrants,284885,622485,13855007"
"27,MN,MINNESOTA,1788,3170,68814"
"19,IA,IOWA,1111,2087,53525"
"31,NE,NEBRASKA,943,1811,38082"
"06,CA,CALIFORNIA,658,1300,34847"
"38,ND,NORTH DAKOTA,640,1271,21716"
"08,CO,COLORADO,561,1052,22246"
"48,TX,TEXAS,480,969,18128"
"56,WY,WYOMING,435,780,15094"
"04,AZ,ARIZONA,411,757,18127"
"57,FR,Foreign,387,662,9298"
"12,FL,FLORIDA,293,520,12114"
"53,WA,WASHINGTON,262,519,10103"
"55,WI,WISCONSIN,256,504,15807"
"30,MT,MONTANA,255,491,8714"
"17,IL,ILLINOIS,252,490,12041"
"32,NV,NEVADA,209,404,10675"
"20,KS,KANSAS,208,424,8090"
"29,MO,MISSOURI,193,415,9483"
"26,MI,MICHIGAN,150,297,6617"
"39,OH,OHIO,140,279,6090"
"51,VA,VIRGINIA,134,268,6722"
"36,NY,NEW YORK,127,230,5027"
"37,NC,NORTH CAROLINA,124,247,4705"
"40,OK,OKLAHOMA,121,248,5337"
"41,OR,OREGON,116,218,4322"
"02,AK,ALASKA,112,255,4398"
"18,IN,INDIANA,110,233,5859"
"35,NM,NEW MEXICO,109,243,4424"
"16,ID,IDAHO,99,202,3797"
"42,PA,PENNSYLVANIA,97,195,4399"
"49,UT,UTAH,97,226,4038"
"13,GA,GEORGIA,79,173,5240"
"24,MD,MARYLAND,69,129,4125"
"47,TN,TENNESSEE,64,124,2141"
"21,KY,KENTUCKY,59,119,2397"
"22,LA,LOUISIANA,57,123,3820"
"05,AR,ARKANSAS,54,112,2262"
"34,NJ,NEW JERSEY,52,105,2696"
"01,AL,ALABAMA,40,86,1330"
"45,SC,SOUTH CAROLINA,40,86,1643"
"25,MA,MASSACHUSETTS,37,80,1898"
"28,MS,MISSISSIPPI,37,76,1019"
"15,HI,HAWAII,35,64,961"
"54,WV,WEST VIRGINIA,35,67,1833"
"09,CT,CONNECTICUT,27,39,1290"
"23,ME,MAINE,25,41,943"
"11,DC,DISTRICT OF COLUMBIA,16,29,941"
"50,VT,VERMONT,15,27,384"
"33,NH,NEW HAMPSHIRE,14,27,407"
"10,DE,DELAWARE,12,27,517"
"44,RI,RHODE ISLAND,5,6,254"
"44,,,,,"
