"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 11-DISTRICTOFCOLUMBIA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,DC,DC Total Mig - US & For,24174,38816,1390801"
"97,DC,DC Total Mig - US,23432,37613,1347544"
"98,DC,DC Total Mig - Foreign,742,1203,43257"
"11,DC,DC Non-Migrants,198053,340333,13218637"
"24,MD,MARYLAND,9850,18575,478264"
"51,VA,VIRGINIA,4266,6363,267192"
"36,NY,NEW YORK,1560,1868,102917"
"06,CA,CALIFORNIA,1161,1466,74156"
"57,FR,Foreign,742,1203,43257"
"12,FL,FLORIDA,611,862,69011"
"37,NC,NORTH CAROLINA,551,906,24763"
"42,PA,PENNSYLVANIA,541,755,32098"
"25,MA,MASSACHUSETTS,494,621,27422"
"48,TX,TEXAS,451,685,27735"
"17,IL,ILLINOIS,419,517,24041"
"13,GA,GEORGIA,360,584,18348"
"34,NJ,NEW JERSEY,331,447,21757"
"53,WA,WASHINGTON,230,305,16378"
"39,OH,OHIO,214,291,9675"
"08,CO,COLORADO,179,274,15861"
"26,MI,MICHIGAN,176,228,7364"
"45,SC,SOUTH CAROLINA,161,249,10068"
"09,CT,CONNECTICUT,152,197,9663"
"27,MN,MINNESOTA,129,173,8688"
"04,AZ,ARIZONA,118,167,7067"
"47,TN,TENNESSEE,108,142,15203"
"29,MO,MISSOURI,107,147,6285"
"41,OR,OREGON,99,126,4193"
"55,WI,WISCONSIN,84,112,4133"
"01,AL,ALABAMA,79,111,3577"
"10,DE,DELAWARE,73,103,7425"
"32,NV,NEVADA,71,95,4930"
"15,HI,HAWAII,68,103,3567"
"18,IN,INDIANA,67,83,1915"
"54,WV,WEST VIRGINIA,65,112,11946"
"22,LA,LOUISIANA,60,99,2410"
"35,NM,NEW MEXICO,60,87,4125"
"50,VT,VERMONT,56,70,2644"
"23,ME,MAINE,48,61,2531"
"44,RI,RHODE ISLAND,47,60,1979"
"21,KY,KENTUCKY,39,57,1957"
"33,NH,NEW HAMPSHIRE,39,53,2220"
"19,IA,IOWA,33,37,1651"
"40,OK,OKLAHOMA,33,61,1265"
"05,AR,ARKANSAS,32,44,1322"
"28,MS,MISSISSIPPI,32,47,1263"
"20,KS,KANSAS,30,39,1466"
"31,NE,NEBRASKA,28,40,1317"
"49,UT,UTAH,28,48,1579"
"30,MT,MONTANA,27,31,889"
"02,AK,ALASKA,23,36,860"
"46,SD,SOUTH DAKOTA,16,29,941"
"56,WY,WYOMING,12,25,775"
"16,ID,IDAHO,7,13,456"
"38,ND,NORTH DAKOTA,7,9,251"
"38,,,,,"
