"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 12-FLORIDA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,FL,FL Total Mig - US & For,222556,416366,9622877"
"97,FL,FL Total Mig - US,214846,402198,9350783"
"98,FL,FL Total Mig - Foreign,7710,14168,272094"
"12,FL,FL Non-Migrants,6265425,12822584,340480831"
"13,GA,GEORGIA,23830,48427,1099471"
"37,NC,NORTH CAROLINA,15452,30691,690831"
"36,NY,NEW YORK,15117,24874,543566"
"48,TX,TEXAS,14198,29246,652964"
"06,CA,CALIFORNIA,11175,18541,562745"
"47,TN,TENNESSEE,10246,20654,476639"
"51,VA,VIRGINIA,9299,18117,453742"
"57,FR,Foreign,7710,14168,272094"
"39,OH,OHIO,7633,13771,297640"
"42,PA,PENNSYLVANIA,7551,13541,317089"
"01,AL,ALABAMA,7413,14920,298516"
"45,SC,SOUTH CAROLINA,7129,14152,313197"
"17,IL,ILLINOIS,6678,11783,292150"
"34,NJ,NEW JERSEY,6223,10835,273523"
"26,MI,MICHIGAN,5428,9374,211101"
"25,MA,MASSACHUSETTS,5178,8581,216390"
"18,IN,INDIANA,4745,8774,185650"
"24,MD,MARYLAND,4369,7733,218291"
"08,CO,COLORADO,4027,7541,199312"
"04,AZ,ARIZONA,3987,7227,206651"
"21,KY,KENTUCKY,3680,7097,126516"
"53,WA,WASHINGTON,3221,5975,146385"
"29,MO,MISSOURI,3070,5746,133884"
"09,CT,CONNECTICUT,2962,5134,129865"
"32,NV,NEVADA,2789,4756,115617"
"55,WI,WISCONSIN,2371,4181,98793"
"22,LA,LOUISIANA,2313,4351,84087"
"28,MS,MISSISSIPPI,2167,4361,78241"
"05,AR,ARKANSAS,1807,3625,70973"
"40,OK,OKLAHOMA,1788,3550,66226"
"27,MN,MINNESOTA,1770,3138,87641"
"23,ME,MAINE,1486,2611,59517"
"33,NH,NEW HAMPSHIRE,1456,2472,60396"
"54,WV,WEST VIRGINIA,1292,2492,42654"
"35,NM,NEW MEXICO,1274,2376,57686"
"15,HI,HAWAII,1257,2320,44859"
"41,OR,OREGON,1256,2143,52059"
"20,KS,KANSAS,1203,2330,52276"
"19,IA,IOWA,1023,1848,38305"
"44,RI,RHODE ISLAND,984,1753,36714"
"49,UT,UTAH,921,2007,38552"
"50,VT,VERMONT,717,1194,29745"
"10,DE,DELAWARE,689,1238,29649"
"11,DC,DISTRICT OF COLUMBIA,668,911,36311"
"02,AK,ALASKA,658,1344,22519"
"31,NE,NEBRASKA,586,1133,26214"
"16,ID,IDAHO,498,1046,21959"
"30,MT,MONTANA,456,818,23294"
"56,WY,WYOMING,298,551,11397"
"46,SD,SOUTH DAKOTA,293,520,12114"
"38,ND,NORTH DAKOTA,215,395,6865"
"38,,,,,"
