"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 27-MINNESOTA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,MN,MN Total Mig - US & For,47521,84623,2491715"
"97,MN,MN Total Mig - US,46497,82940,2453795"
"98,MN,MN Total Mig - Foreign,1024,1683,37920"
"27,MN,MN Non-Migrants,1921508,4176438,119710367"
"55,WI,WISCONSIN,7055,12723,320572"
"06,CA,CALIFORNIA,3500,5708,180858"
"38,ND,NORTH DAKOTA,3112,4813,95310"
"12,FL,FLORIDA,2751,4898,246568"
"48,TX,TEXAS,2454,5270,127003"
"04,AZ,ARIZONA,2416,4172,152438"
"17,IL,ILLINOIS,2366,4113,118206"
"19,IA,IOWA,2036,3857,81953"
"46,SD,SOUTH DAKOTA,1788,3170,68814"
"08,CO,COLORADO,1657,2731,101606"
"53,WA,WASHINGTON,1242,2144,58239"
"36,NY,NEW YORK,1194,1725,55684"
"57,FR,Foreign,1024,1683,37920"
"37,NC,NORTH CAROLINA,910,1763,44467"
"29,MO,MISSOURI,832,1733,38849"
"13,GA,GEORGIA,819,1655,45097"
"26,MI,MICHIGAN,799,1440,65447"
"51,VA,VIRGINIA,782,1438,53212"
"32,NV,NEVADA,716,1155,58293"
"41,OR,OREGON,716,1127,32010"
"39,OH,OHIO,692,1328,50637"
"18,IN,INDIANA,599,1204,29888"
"31,NE,NEBRASKA,599,1146,26310"
"42,PA,PENNSYLVANIA,587,1136,41336"
"25,MA,MASSACHUSETTS,538,799,46429"
"47,TN,TENNESSEE,513,1030,23558"
"30,MT,MONTANA,487,826,22079"
"20,KS,KANSAS,444,927,22498"
"24,MD,MARYLAND,413,667,20783"
"34,NJ,NEW JERSEY,348,632,25823"
"05,AR,ARKANSAS,345,780,18441"
"40,OK,OKLAHOMA,344,743,12545"
"35,NM,NEW MEXICO,321,534,13494"
"49,UT,UTAH,315,629,21766"
"02,AK,ALASKA,299,473,10204"
"45,SC,SOUTH CAROLINA,287,532,19605"
"21,KY,KENTUCKY,276,572,13550"
"15,HI,HAWAII,240,352,8624"
"56,WY,WYOMING,212,361,7299"
"09,CT,CONNECTICUT,207,380,15772"
"16,ID,IDAHO,204,385,13275"
"11,DC,DISTRICT OF COLUMBIA,187,204,6763"
"01,AL,ALABAMA,183,362,7427"
"22,LA,LOUISIANA,160,292,6281"
"28,MS,MISSISSIPPI,151,282,5015"
"23,ME,MAINE,95,174,3511"
"33,NH,NEW HAMPSHIRE,90,159,5353"
"10,DE,DELAWARE,68,122,3181"
"50,VT,VERMONT,57,97,3082"
"44,RI,RHODE ISLAND,50,81,2723"
"54,WV,WEST VIRGINIA,41,96,1917"
"54,,,,,"
