"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 31-NEBRASKA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,NE,NE Total Mig - US & For,22380,43431,960418"
"97,NE,NE Total Mig - US,21901,42520,940838"
"98,NE,NE Total Mig - Foreign,479,911,19579"
"31,NE,NE Non-Migrants,640329,1428943,33498413"
"19,IA,IOWA,3168,6350,119693"
"08,CO,COLORADO,1801,3128,67107"
"48,TX,TEXAS,1655,3524,84480"
"06,CA,CALIFORNIA,1352,2477,49008"
"20,KS,KANSAS,1294,2536,48498"
"29,MO,MISSOURI,1185,2200,47590"
"04,AZ,ARIZONA,993,1735,49387"
"46,SD,SOUTH DAKOTA,943,1811,38082"
"12,FL,FLORIDA,873,1674,46267"
"17,IL,ILLINOIS,723,1335,35249"
"27,MN,MINNESOTA,676,1306,31963"
"56,WY,WYOMING,521,981,19001"
"57,FR,Foreign,479,911,19579"
"51,VA,VIRGINIA,442,839,20679"
"53,WA,WASHINGTON,419,803,17544"
"32,NV,NEVADA,351,669,16288"
"13,GA,GEORGIA,348,689,12544"
"37,NC,NORTH CAROLINA,324,666,17072"
"40,OK,OKLAHOMA,303,621,10412"
"47,TN,TENNESSEE,286,598,10921"
"36,NY,NEW YORK,282,446,9845"
"55,WI,WISCONSIN,277,549,15409"
"39,OH,OHIO,276,592,17639"
"26,MI,MICHIGAN,265,548,12320"
"05,AR,ARKANSAS,239,481,11119"
"41,OR,OREGON,222,389,9868"
"18,IN,INDIANA,213,451,10968"
"42,PA,PENNSYLVANIA,211,448,8730"
"35,NM,NEW MEXICO,193,429,8244"
"49,UT,UTAH,185,458,9999"
"24,MD,MARYLAND,153,284,5819"
"01,AL,ALABAMA,135,331,6437"
"22,LA,LOUISIANA,133,282,4737"
"30,MT,MONTANA,132,287,4782"
"45,SC,SOUTH CAROLINA,132,279,7164"
"16,ID,IDAHO,127,294,6389"
"21,KY,KENTUCKY,126,252,4910"
"25,MA,MASSACHUSETTS,125,207,10435"
"38,ND,NORTH DAKOTA,123,248,4911"
"34,NJ,NEW JERSEY,109,209,6285"
"15,HI,HAWAII,107,213,3482"
"02,AK,ALASKA,103,212,4257"
"28,MS,MISSISSIPPI,82,174,3122"
"09,CT,CONNECTICUT,73,139,3387"
"11,DC,DISTRICT OF COLUMBIA,48,58,1389"
"54,WV,WEST VIRGINIA,45,75,1617"
"23,ME,MAINE,34,64,1405"
"10,DE,DELAWARE,29,57,1144"
"33,NH,NEW HAMPSHIRE,24,52,1708"
"44,RI,RHODE ISLAND,23,34,892"
"50,VT,VERMONT,18,36,639"
"50,,,,,"
