"2005- 2006 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
"(Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 32-NEVADA,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
",,,,,"
"96,NV,NV Total Mig - US & For,46460,89837,2193796"
"97,NV,NV Total Mig - US,45558,88202,2154956"
"98,NV,NV Total Mig - Foreign,902,1635,38840"
"32,NV,NV Non-Migrants,819899,1743772,49988591"
"06,CA,CALIFORNIA,11432,20897,559225"
"04,AZ,ARIZONA,4188,8351,204685"
"48,TX,TEXAS,2965,6302,152653"
"49,UT,UTAH,2467,5894,108471"
"53,WA,WASHINGTON,2229,4198,133848"
"12,FL,FLORIDA,2086,3789,93390"
"08,CO,COLORADO,1690,3334,88366"
"41,OR,OREGON,1682,3200,70031"
"16,ID,IDAHO,1384,2998,66470"
"17,IL,ILLINOIS,1060,1941,46253"
"57,FR,Foreign,902,1635,38840"
"36,NY,NEW YORK,844,1369,36187"
"35,NM,NEW MEXICO,777,1564,38027"
"15,HI,HAWAII,743,1357,35552"
"13,GA,GEORGIA,682,1405,27641"
"37,NC,NORTH CAROLINA,669,1328,28519"
"39,OH,OHIO,667,1256,26064"
"29,MO,MISSOURI,664,1349,29197"
"51,VA,VIRGINIA,632,1248,31579"
"47,TN,TENNESSEE,558,1148,29396"
"40,OK,OKLAHOMA,549,1097,22055"
"26,MI,MICHIGAN,543,923,23698"
"42,PA,PENNSYLVANIA,535,976,20762"
"55,WI,WISCONSIN,466,841,18322"
"30,MT,MONTANA,458,902,16153"
"27,MN,MINNESOTA,445,804,19231"
"18,IN,INDIANA,440,824,16224"
"34,NJ,NEW JERSEY,345,549,15531"
"20,KS,KANSAS,323,643,16254"
"05,AR,ARKANSAS,312,623,11418"
"56,WY,WYOMING,312,622,16796"
"24,MD,MARYLAND,305,562,17172"
"02,AK,ALASKA,295,601,13263"
"45,SC,SOUTH CAROLINA,294,594,14495"
"19,IA,IOWA,277,551,12600"
"25,MA,MASSACHUSETTS,257,394,10544"
"21,KY,KENTUCKY,245,475,9621"
"31,NE,NEBRASKA,229,463,8711"
"01,AL,ALABAMA,226,491,10082"
"22,LA,LOUISIANA,223,421,9091"
"28,MS,MISSISSIPPI,212,443,9227"
"46,SD,SOUTH DAKOTA,209,404,10675"
"09,CT,CONNECTICUT,141,238,6962"
"38,ND,NORTH DAKOTA,97,162,3066"
"33,NH,NEW HAMPSHIRE,90,163,4416"
"23,ME,MAINE,69,120,2785"
"54,WV,WEST VIRGINIA,62,116,2590"
"11,DC,DISTRICT OF COLUMBIA,56,76,2714"
"44,RI,RHODE ISLAND,48,86,2102"
"10,DE,DELAWARE,44,66,1869"
"50,VT,VERMONT,32,44,972"
"50,,,,,"
