" 2006- 2007 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,44-RhodeIsland,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,RI,RI Total Mig - US & For,16559,29198,854104"
"97,RI,RI Total Mig - US,16259,28589,841831"
"98,RI,RI Total Mig - Foreign,300,609,12273"
"44,RI,RI Non-Migrants,392903,796774,23191577"
"25,MA,MASSACHUSETTS,4366,7124,221413"
"12,FL,FLORIDA,2182,4009,145531"
"09,CT,CONNECTICUT,1413,2449,69678"
"36,NY,NEW YORK,1182,1812,42645"
"06,CA,CALIFORNIA,754,1220,38116"
"37,NC,NORTH CAROLINA,638,1362,28480"
"51,VA,VIRGINIA,548,1196,31216"
"42,PA,PENNSYLVANIA,436,766,23846"
"48,TX,TEXAS,421,886,22539"
"13,GA,GEORGIA,358,725,14375"
"33,NH,NEW HAMPSHIRE,358,577,21764"
"34,NJ,NEW JERSEY,351,554,16821"
"45,SC,SOUTH CAROLINA,307,697,15429"
"57,FR,Foreign,300,609,12273"
"23,ME,MAINE,279,508,11844"
"24,MD,MARYLAND,262,409,13321"
"17,IL,ILLINOIS,182,307,12093"
"04,AZ,ARIZONA,173,277,7877"
"08,CO,COLORADO,152,255,11509"
"53,WA,WASHINGTON,148,287,10686"
"47,TN,TENNESSEE,146,314,6328"
"39,OH,OHIO,141,263,7940"
"50,VT,VERMONT,122,189,7843"
"32,NV,NEVADA,121,170,4546"
"11,DC,DISTRICT OF COLUMBIA,94,104,4929"
"41,OR,OREGON,91,138,3671"
"18,IN,INDIANA,84,170,3431"
"26,MI,MICHIGAN,82,142,3562"
"15,HI,HAWAII,80,181,4472"
"27,MN,MINNESOTA,78,126,3800"
"29,MO,MISSOURI,67,126,3130"
"22,LA,LOUISIANA,64,121,2419"
"01,AL,ALABAMA,60,117,3111"
"21,KY,KENTUCKY,56,96,2456"
"55,WI,WISCONSIN,54,115,3442"
"05,AR,ARKANSAS,49,96,1905"
"35,NM,NEW MEXICO,44,77,2115"
"10,DE,DELAWARE,38,77,1940"
"40,OK,OKLAHOMA,38,90,1480"
"28,MS,MISSISSIPPI,37,63,1127"
"20,KS,KANSAS,35,67,1802"
"49,UT,UTAH,33,62,1205"
"19,IA,IOWA,30,59,1297"
"54,WV,WEST VIRGINIA,23,40,878"
"31,NE,NEBRASKA,21,49,1078"
"02,AK,ALASKA,17,33,729"
"16,ID,IDAHO,11,25,443"
"30,MT,MONTANA,11,23,495"
"56,WY,WYOMING,9,9,235"
"38,ND,NORTH DAKOTA,8,21,754"
"46,SD,SOUTH DAKOTA,5,6,85"
