" 2006- 2007 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 11-DistrictofColumbia,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,DC,DC Total Mig - US & For,25857,34189,1287356"
"97,DC,DC Total Mig - US,23761,31745,1247214"
"98,DC,DC Total Mig - Foreign,2096,2444,40142"
"11,DC,DC Non-Migrants,200735,340905,14093570"
"24,MD,MARYLAND,6869,10976,341867"
"51,VA,VIRGINIA,4568,5745,287409"
"57,FR,Foreign,2096,2444,40142"
"36,NY,NEW YORK,1598,1874,92853"
"06,CA,CALIFORNIA,1332,1589,68149"
"42,PA,PENNSYLVANIA,870,999,40283"
"25,MA,MASSACHUSETTS,808,911,39820"
"12,FL,FLORIDA,662,824,44422"
"37,NC,NORTH CAROLINA,595,804,23733"
"48,TX,TEXAS,588,769,37283"
"17,IL,ILLINOIS,563,664,27262"
"34,NJ,NEW JERSEY,516,639,29837"
"39,OH,OHIO,466,557,18052"
"13,GA,GEORGIA,405,522,20042"
"26,MI,MICHIGAN,351,380,12475"
"09,CT,CONNECTICUT,279,325,14423"
"53,WA,WASHINGTON,246,314,13388"
"08,CO,COLORADO,213,266,8593"
"27,MN,MINNESOTA,196,235,9967"
"45,SC,SOUTH CAROLINA,195,292,7364"
"47,TN,TENNESSEE,166,202,6794"
"55,WI,WISCONSIN,165,192,7295"
"18,IN,INDIANA,161,184,6884"
"29,MO,MISSOURI,156,182,5886"
"04,AZ,ARIZONA,137,175,7394"
"22,LA,LOUISIANA,131,166,5387"
"10,DE,DELAWARE,104,125,5600"
"41,OR,OREGON,103,113,3573"
"01,AL,ALABAMA,98,139,6232"
"44,RI,RHODE ISLAND,94,104,4929"
"35,NM,NEW MEXICO,78,101,3743"
"28,MS,MISSISSIPPI,77,114,2973"
"33,NH,NEW HAMPSHIRE,77,83,2904"
"15,HI,HAWAII,72,139,4797"
"40,OK,OKLAHOMA,72,88,2610"
"19,IA,IOWA,71,85,2860"
"50,VT,VERMONT,69,71,4385"
"20,KS,KANSAS,66,83,2641"
"21,KY,KENTUCKY,65,76,2664"
"23,ME,MAINE,65,75,1951"
"49,UT,UTAH,65,82,2355"
"54,WV,WEST VIRGINIA,62,91,2661"
"05,AR,ARKANSAS,51,66,2012"
"32,NV,NEVADA,50,67,2146"
"31,NE,NEBRASKA,43,64,2319"
"30,MT,MONTANA,31,36,934"
"16,ID,IDAHO,25,28,678"
"46,SD,SOUTH DAKOTA,25,34,905"
"38,ND,NORTH DAKOTA,23,33,693"
"02,AK,ALASKA,22,40,1290"
"56,WY,WYOMING,17,22,2495"
