" 2006- 2007 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 17-Illinois,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,IL,IL Total Mig - US & For,110585,190916,5304916"
"97,IL,IL Total Mig - US,100067,177872,5115973"
"98,IL,IL Total Mig - Foreign,10518,13044,188942"
"17,IL,IL Non-Migrants,4611190,10179103,293751397"
"57,FR,Foreign,10518,13044,188942"
"18,IN,INDIANA,8255,15010,345940"
"06,CA,CALIFORNIA,7707,13881,471529"
"55,WI,WISCONSIN,7150,12223,313819"
"29,MO,MISSOURI,6941,12299,298859"
"26,MI,MICHIGAN,6904,11106,350675"
"12,FL,FLORIDA,6734,11632,321461"
"48,TX,TEXAS,5173,10241,281985"
"39,OH,OHIO,4387,7078,247891"
"19,IA,IOWA,4235,7359,169273"
"36,NY,NEW YORK,3720,5899,253602"
"04,AZ,ARIZONA,2635,4726,120291"
"13,GA,GEORGIA,2577,5033,134015"
"27,MN,MINNESOTA,2417,4168,126772"
"51,VA,VIRGINIA,2379,4435,139451"
"37,NC,NORTH CAROLINA,2109,4070,107350"
"42,PA,PENNSYLVANIA,1990,3512,134048"
"47,TN,TENNESSEE,1982,3855,88062"
"08,CO,COLORADO,1943,3346,98815"
"25,MA,MASSACHUSETTS,1804,2955,121254"
"34,NJ,NEW JERSEY,1541,2892,125124"
"21,KY,KENTUCKY,1529,2860,57027"
"53,WA,WASHINGTON,1437,2723,79633"
"20,KS,KANSAS,1202,2259,66733"
"24,MD,MARYLAND,1192,2093,72835"
"32,NV,NEVADA,1123,1982,46234"
"09,CT,CONNECTICUT,895,1660,77982"
"05,AR,ARKANSAS,853,1623,42140"
"45,SC,SOUTH CAROLINA,804,1484,36666"
"28,MS,MISSISSIPPI,791,1675,27247"
"31,NE,NEBRASKA,784,1389,41005"
"01,AL,ALABAMA,728,1401,27808"
"40,OK,OKLAHOMA,698,1336,30005"
"22,LA,LOUISIANA,694,1282,29821"
"41,OR,OREGON,585,952,26179"
"15,HI,HAWAII,524,999,20894"
"11,DC,DISTRICT OF COLUMBIA,497,602,32222"
"35,NM,NEW MEXICO,445,813,20065"
"49,UT,UTAH,424,909,19390"
"33,NH,NEW HAMPSHIRE,252,424,16120"
"16,ID,IDAHO,228,476,14187"
"02,AK,ALASKA,224,469,9370"
"38,ND,NORTH DAKOTA,206,373,8144"
"46,SD,SOUTH DAKOTA,201,356,8412"
"30,MT,MONTANA,191,310,5152"
"44,RI,RHODE ISLAND,182,307,12093"
"54,WV,WEST VIRGINIA,177,307,7967"
"10,DE,DELAWARE,175,367,10134"
"23,ME,MAINE,160,282,7601"
"56,WY,WYOMING,150,262,6324"
"50,VT,VERMONT,133,177,6367"
