" 2006- 2007 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 25-Massachusetts,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,MA,MA Total Mig - US & For,67255,102321,3544709"
"97,MA,MA Total Mig - US,60804,94442,3433932"
"98,MA,MA Total Mig - Foreign,6451,7879,110777"
"25,MA,MA Non-Migrants,2420113,4943156,174877275"
"36,NY,NEW YORK,7916,11730,483590"
"57,FR,Foreign,6451,7879,110777"
"33,NH,NEW HAMPSHIRE,5631,8449,278309"
"12,FL,FLORIDA,5502,9007,225918"
"09,CT,CONNECTICUT,4807,7246,344921"
"06,CA,CALIFORNIA,4662,6990,304172"
"44,RI,RHODE ISLAND,4366,7124,221413"
"34,NJ,NEW JERSEY,2453,3988,198027"
"42,PA,PENNSYLVANIA,2351,3634,161058"
"23,ME,MAINE,1892,2613,68675"
"51,VA,VIRGINIA,1829,2971,103019"
"48,TX,TEXAS,1639,2805,96662"
"37,NC,NORTH CAROLINA,1428,2370,65407"
"17,IL,ILLINOIS,1377,2085,95644"
"24,MD,MARYLAND,1282,1969,85057"
"50,VT,VERMONT,1207,1616,42997"
"13,GA,GEORGIA,1127,1974,58980"
"39,OH,OHIO,1123,1855,72118"
"26,MI,MICHIGAN,1002,1584,51634"
"08,CO,COLORADO,842,1263,44761"
"53,WA,WASHINGTON,754,1226,47437"
"04,AZ,ARIZONA,703,1114,35556"
"27,MN,MINNESOTA,543,809,35065"
"11,DC,DISTRICT OF COLUMBIA,525,647,35478"
"45,SC,SOUTH CAROLINA,472,790,20299"
"55,WI,WISCONSIN,467,707,23195"
"18,IN,INDIANA,463,706,24206"
"47,TN,TENNESSEE,408,675,20118"
"29,MO,MISSOURI,389,616,22227"
"41,OR,OREGON,383,590,16093"
"32,NV,NEVADA,285,417,10891"
"49,UT,UTAH,278,478,12016"
"15,HI,HAWAII,258,411,9170"
"22,LA,LOUISIANA,245,387,10674"
"20,KS,KANSAS,222,362,9884"
"35,NM,NEW MEXICO,221,343,11071"
"01,AL,ALABAMA,218,389,9548"
"21,KY,KENTUCKY,206,360,9428"
"19,IA,IOWA,186,270,8149"
"40,OK,OKLAHOMA,163,287,6399"
"10,DE,DELAWARE,151,228,7519"
"05,AR,ARKANSAS,130,213,4903"
"31,NE,NEBRASKA,117,197,6605"
"28,MS,MISSISSIPPI,110,209,4052"
"02,AK,ALASKA,100,155,3764"
"54,WV,WEST VIRGINIA,84,144,4784"
"16,ID,IDAHO,78,127,15512"
"30,MT,MONTANA,73,102,1921"
"56,WY,WYOMING,53,85,2261"
"38,ND,NORTH DAKOTA,46,71,2041"
"46,SD,SOUTH DAKOTA,37,54,1305"
