" 2006- 2007 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
"TO: 54-WestVirginia,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"FROM:,,,,,"
"96,WV,WV Total Mig - US & For,18695,36968,727124"
"97,WV,WV Total Mig - US,18251,36338,718638"
"98,WV,WV Total Mig - Foreign,444,630,8486"
"54,WV,WV Non-Migrants,615866,1330046,28057268"
"51,VA,VIRGINIA,3146,6415,147797"
"39,OH,OHIO,2811,5400,84034"
"24,MD,MARYLAND,2386,4829,113681"
"42,PA,PENNSYLVANIA,1477,2721,57123"
"12,FL,FLORIDA,1322,2477,45458"
"37,NC,NORTH CAROLINA,1243,2522,37280"
"21,KY,KENTUCKY,673,1420,24671"
"57,FR,Foreign,444,630,8486"
"48,TX,TEXAS,401,910,17725"
"45,SC,SOUTH CAROLINA,390,790,12326"
"06,CA,CALIFORNIA,373,735,16143"
"36,NY,NEW YORK,368,694,13423"
"47,TN,TENNESSEE,365,739,12624"
"13,GA,GEORGIA,345,706,12220"
"26,MI,MICHIGAN,281,592,11395"
"34,NJ,NEW JERSEY,258,481,9963"
"18,IN,INDIANA,249,487,9278"
"17,IL,ILLINOIS,175,341,7439"
"01,AL,ALABAMA,134,280,5741"
"04,AZ,ARIZONA,134,263,5172"
"08,CO,COLORADO,121,219,4262"
"53,WA,WASHINGTON,109,230,4078"
"22,LA,LOUISIANA,107,212,4928"
"29,MO,MISSOURI,93,233,5116"
"10,DE,DELAWARE,83,164,3167"
"25,MA,MASSACHUSETTS,81,171,4688"
"40,OK,OKLAHOMA,76,169,3936"
"55,WI,WISCONSIN,75,139,2628"
"09,CT,CONNECTICUT,70,150,4410"
"11,DC,DISTRICT OF COLUMBIA,67,111,4586"
"32,NV,NEVADA,64,121,2607"
"28,MS,MISSISSIPPI,63,149,2996"
"20,KS,KANSAS,61,144,2445"
"35,NM,NEW MEXICO,58,112,2543"
"05,AR,ARKANSAS,56,125,1807"
"02,AK,ALASKA,51,103,1976"
"41,OR,OREGON,50,95,1340"
"27,MN,MINNESOTA,46,90,1886"
"15,HI,HAWAII,45,81,1450"
"19,IA,IOWA,45,79,1465"
"49,UT,UTAH,42,105,1571"
"33,NH,NEW HAMPSHIRE,40,81,1770"
"31,NE,NEBRASKA,37,72,1602"
"23,ME,MAINE,31,67,1459"
"50,VT,VERMONT,25,48,872"
"56,WY,WYOMING,25,55,993"
"16,ID,IDAHO,24,45,743"
"30,MT,MONTANA,23,60,1148"
"44,RI,RHODE ISLAND,23,40,878"
"46,SD,SOUTH DAKOTA,15,24,690"
"38,ND,NORTH DAKOTA,14,42,1106"
