" 2006- 2007 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
"FROM: 09-Connecticut,,,NUMBER OF RETURNS,NUMBER OF EXEMPTIONS,AGGREGATE ADJUSTED GROSS INCOME"
",,,,,"
",,,,,"
",,,,,"
"TO:,,,,,"
"96,CT,CT Total Mig - US & For,44687,78123,3364538"
"97,CT,CT Total Mig - US,43270,75577,3258414"
"98,CT,CT Total Mig - Foreign,1417,2546,106124"
"09,CT,CT Non-Migrants,1300673,2723531,105079131"
"36,NY,NEW YORK,7455,11577,533837"
"12,FL,FLORIDA,5770,10425,539790"
"25,MA,MASSACHUSETTS,4807,7246,344921"
"06,CA,CALIFORNIA,2325,3750,173154"
"37,NC,NORTH CAROLINA,2130,4313,147815"
"34,NJ,NEW JERSEY,1723,3030,142446"
"51,VA,VIRGINIA,1695,3183,108578"
"42,PA,PENNSYLVANIA,1627,3007,111550"
"57,FR,Foreign,1417,2546,106124"
"48,TX,TEXAS,1409,2865,134888"
"13,GA,GEORGIA,1332,2848,74030"
"44,RI,RHODE ISLAND,1172,1862,64493"
"45,SC,SOUTH CAROLINA,1040,2028,68941"
"17,IL,ILLINOIS,895,1660,77982"
"33,NH,NEW HAMPSHIRE,775,1357,63221"
"24,MD,MARYLAND,767,1272,73782"
"23,ME,MAINE,749,1362,51012"
"04,AZ,ARIZONA,714,1264,49390"
"53,WA,WASHINGTON,564,1068,39311"
"50,VT,VERMONT,556,922,36818"
"39,OH,OHIO,553,1133,45241"
"08,CO,COLORADO,541,965,40035"
"47,TN,TENNESSEE,432,858,27717"
"26,MI,MICHIGAN,325,642,26359"
"32,NV,NEVADA,320,514,30507"
"11,DC,DISTRICT OF COLUMBIA,279,325,14423"
"18,IN,INDIANA,263,525,17807"
"55,WI,WISCONSIN,243,480,20089"
"29,MO,MISSOURI,241,436,19932"
"41,OR,OREGON,217,343,12877"
"27,MN,MINNESOTA,214,411,17025"
"21,KY,KENTUCKY,208,415,13599"
"01,AL,ALABAMA,193,358,9850"
"15,HI,HAWAII,189,337,9033"
"35,NM,NEW MEXICO,170,300,14255"
"22,LA,LOUISIANA,168,290,7190"
"49,UT,UTAH,154,341,15352"
"10,DE,DELAWARE,150,241,9235"
"40,OK,OKLAHOMA,136,262,9137"
"20,KS,KANSAS,95,182,4896"
"05,AR,ARKANSAS,94,188,6598"
"28,MS,MISSISSIPPI,88,159,3671"
"19,IA,IOWA,82,153,3975"
"30,MT,MONTANA,79,115,5721"
"54,WV,WEST VIRGINIA,70,150,4410"
"02,AK,ALASKA,60,77,1526"
"16,ID,IDAHO,55,92,3323"
"31,NE,NEBRASKA,55,117,4573"
"56,WY,WYOMING,54,74,22297"
"46,SD,SOUTH DAKOTA,20,35,1145"
"38,ND,NORTH DAKOTA,17,20,656"
