" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,19-Iowa,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,IA,IA Total Mig - US & For,33814,63330,1404389"
"97,IA,IA Total Mig - US,31788,60891,1366856"
"98,IA,IA Total Mig - Foreign,2026,2439,37533"
"19,IA,IA Non-Migrants,1141025,2473703,64688372"
"17,IL,ILLINOIS,5232,9590,203832"
"31,NE,NEBRASKA,3057,5889,115085"
"27,MN,MINNESOTA,2403,4345,106741"
"57,FR,Foreign,2026,2439,37533"
"06,CA,CALIFORNIA,1833,3463,75557"
"29,MO,MISSOURI,1807,3549,70067"
"48,TX,TEXAS,1591,3160,75149"
"55,WI,WISCONSIN,1497,2722,66503"
"12,FL,FLORIDA,1197,2153,46575"
"04,AZ,ARIZONA,953,1825,42920"
"08,CO,COLORADO,937,1735,43129"
"46,SD,SOUTH DAKOTA,886,1623,32633"
"20,KS,KANSAS,817,1588,45642"
"26,MI,MICHIGAN,715,1529,37455"
"18,IN,INDIANA,590,1302,29814"
"39,OH,OHIO,574,1088,29355"
"37,NC,NORTH CAROLINA,571,1130,26905"
"53,WA,WASHINGTON,504,1008,21954"
"36,NY,NEW YORK,483,869,21212"
"51,VA,VIRGINIA,464,931,22154"
"47,TN,TENNESSEE,430,871,16418"
"13,GA,GEORGIA,425,922,22607"
"42,PA,PENNSYLVANIA,374,707,17882"
"40,OK,OKLAHOMA,325,702,12421"
"05,AR,ARKANSAS,291,594,10229"
"32,NV,NEVADA,288,542,11320"
"34,NJ,NEW JERSEY,278,528,15758"
"24,MD,MARYLAND,246,474,13266"
"41,OR,OREGON,244,439,8453"
"25,MA,MASSACHUSETTS,230,398,12441"
"21,KY,KENTUCKY,215,480,10695"
"09,CT,CONNECTICUT,213,354,9917"
"38,ND,NORTH DAKOTA,190,320,8141"
"35,NM,NEW MEXICO,186,375,7342"
"49,UT,UTAH,186,482,6832"
"45,SC,SOUTH CAROLINA,177,373,7437"
"22,LA,LOUISIANA,168,350,7549"
"01,AL,ALABAMA,167,394,12169"
"28,MS,MISSISSIPPI,138,289,5206"
"56,WY,WYOMING,137,287,4833"
"15,HI,HAWAII,129,231,5236"
"16,ID,IDAHO,122,277,4618"
"30,MT,MONTANA,106,229,3250"
"02,AK,ALASKA,94,189,4480"
"23,ME,MAINE,65,139,2180"
"33,NH,NEW HAMPSHIRE,61,108,3042"
"54,WV,WEST VIRGINIA,54,118,3583"
"10,DE,DELAWARE,47,95,3375"
"11,DC,DISTRICT OF COLUMBIA,38,47,1872"
"50,VT,VERMONT,29,47,761"
"44,RI,RHODE ISLAND,24,31,864"
