" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,27-Minnesota,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MN,MN Total Mig - US & For,46612,80987,2330273"
"97,MN,MN Total Mig - US,44158,77921,2281952"
"98,MN,MN Total Mig - Foreign,2454,3066,48321"
"27,MN,MN Non-Migrants,2060441,4373529,134307721"
"55,WI,WISCONSIN,7611,11846,299955"
"38,ND,NORTH DAKOTA,3369,5556,131428"
"06,CA,CALIFORNIA,2912,5190,202372"
"17,IL,ILLINOIS,2686,4937,155962"
"19,IA,IOWA,2525,4367,115195"
"57,FR,Foreign,2454,3066,48321"
"48,TX,TEXAS,2084,4201,114778"
"12,FL,FLORIDA,1876,3234,97511"
"46,SD,SOUTH DAKOTA,1663,2727,56009"
"26,MI,MICHIGAN,1416,2621,79299"
"04,AZ,ARIZONA,1411,2414,79466"
"08,CO,COLORADO,1170,2038,57614"
"36,NY,NEW YORK,1114,1854,73401"
"53,WA,WASHINGTON,936,1668,57041"
"39,OH,OHIO,873,1687,65496"
"29,MO,MISSOURI,844,1525,43278"
"18,IN,INDIANA,737,1466,38622"
"51,VA,VIRGINIA,737,1429,45775"
"13,GA,GEORGIA,733,1501,44001"
"37,NC,NORTH CAROLINA,722,1356,36703"
"31,NE,NEBRASKA,659,1256,33402"
"42,PA,PENNSYLVANIA,629,1207,46759"
"20,KS,KANSAS,601,1146,31473"
"47,TN,TENNESSEE,510,1003,24412"
"25,MA,MASSACHUSETTS,494,823,33211"
"32,NV,NEVADA,459,796,24732"
"41,OR,OREGON,435,736,20768"
"34,NJ,NEW JERSEY,413,756,30097"
"30,MT,MONTANA,380,672,13699"
"24,MD,MARYLAND,336,594,21715"
"16,ID,IDAHO,326,802,32446"
"40,OK,OKLAHOMA,293,540,10679"
"49,UT,UTAH,285,628,14881"
"02,AK,ALASKA,254,459,11103"
"09,CT,CONNECTICUT,251,496,22785"
"05,AR,ARKANSAS,248,491,12405"
"21,KY,KENTUCKY,248,486,16608"
"45,SC,SOUTH CAROLINA,233,459,10500"
"35,NM,NEW MEXICO,226,387,10004"
"15,HI,HAWAII,209,351,6922"
"56,WY,WYOMING,190,316,8087"
"22,LA,LOUISIANA,185,317,10863"
"28,MS,MISSISSIPPI,154,296,4452"
"01,AL,ALABAMA,152,324,7629"
"11,DC,DISTRICT OF COLUMBIA,134,177,7917"
"23,ME,MAINE,111,193,4569"
"33,NH,NEW HAMPSHIRE,91,165,4909"
"44,RI,RHODE ISLAND,68,131,2321"
"50,VT,VERMONT,66,121,3244"
"54,WV,WEST VIRGINIA,52,92,2633"
"10,DE,DELAWARE,47,84,2825"
