" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,28-Mississippi,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,MS,MS Total Mig - US & For,31947,65359,1227484"
"97,MS,MS Total Mig - US,30751,63247,1199342"
"98,MS,MS Total Mig - Foreign,1196,2112,28142"
"28,MS,MS Non-Migrants,966821,2191607,42598092"
"47,TN,TENNESSEE,5520,11612,208038"
"22,LA,LOUISIANA,3492,7160,150439"
"01,AL,ALABAMA,2691,5543,102563"
"12,FL,FLORIDA,2475,4825,90639"
"48,TX,TEXAS,2400,5132,92607"
"13,GA,GEORGIA,1632,3458,60253"
"06,CA,CALIFORNIA,1198,2434,47141"
"57,FR,Foreign,1196,2112,28142"
"17,IL,ILLINOIS,1044,2067,38133"
"05,AR,ARKANSAS,936,2024,36645"
"51,VA,VIRGINIA,772,1619,34369"
"37,NC,NORTH CAROLINA,698,1465,27370"
"26,MI,MICHIGAN,693,1397,24945"
"29,MO,MISSOURI,590,1193,22190"
"39,OH,OHIO,557,1115,20837"
"18,IN,INDIANA,453,954,17754"
"45,SC,SOUTH CAROLINA,427,894,18436"
"36,NY,NEW YORK,417,749,18290"
"08,CO,COLORADO,360,712,12998"
"55,WI,WISCONSIN,338,668,8964"
"21,KY,KENTUCKY,337,712,13581"
"42,PA,PENNSYLVANIA,303,545,11052"
"40,OK,OKLAHOMA,300,657,11148"
"04,AZ,ARIZONA,288,578,11811"
"24,MD,MARYLAND,285,561,14445"
"53,WA,WASHINGTON,252,524,9810"
"32,NV,NEVADA,238,493,8562"
"20,KS,KANSAS,180,366,6101"
"27,MN,MINNESOTA,172,355,7788"
"34,NJ,NEW JERSEY,159,289,7971"
"19,IA,IOWA,140,268,5090"
"25,MA,MASSACHUSETTS,133,236,6566"
"35,NM,NEW MEXICO,122,264,7147"
"15,HI,HAWAII,121,290,4534"
"41,OR,OREGON,117,212,3950"
"31,NE,NEBRASKA,95,173,3271"
"02,AK,ALASKA,94,205,3839"
"09,CT,CONNECTICUT,94,172,3779"
"49,UT,UTAH,91,219,3511"
"54,WV,WEST VIRGINIA,64,146,2314"
"23,ME,MAINE,55,118,2254"
"16,ID,IDAHO,54,110,2220"
"11,DC,DISTRICT OF COLUMBIA,49,87,2104"
"30,MT,MONTANA,49,95,2505"
"33,NH,NEW HAMPSHIRE,46,79,1871"
"56,WY,WYOMING,45,114,2354"
"46,SD,SOUTH DAKOTA,44,99,1687"
"10,DE,DELAWARE,39,72,1506"
"38,ND,NORTH DAKOTA,37,91,1563"
"44,RI,RHODE ISLAND,36,68,1325"
"50,VT,VERMONT,19,28,1074"
