" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,36-NewYork,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NY,NY Total Mig - US & For,173194,265112,8421954"
"97,NY,NY Total Mig - US,153033,240394,7717684"
"98,NY,NY Total Mig - Foreign,20161,24718,704270"
"36,NY,NY Non-Migrants,7156671,14558165,469923294"
"34,NJ,NEW JERSEY,21575,33938,1412681"
"57,FR,Foreign,20161,24718,704270"
"12,FL,FLORIDA,19466,32177,687823"
"42,PA,PENNSYLVANIA,12748,20533,560471"
"06,CA,CALIFORNIA,12718,17623,795115"
"25,MA,MASSACHUSETTS,8870,12196,484418"
"09,CT,CONNECTICUT,7770,12108,630032"
"51,VA,VIRGINIA,5979,9895,273467"
"37,NC,NORTH CAROLINA,5714,9666,221212"
"48,TX,TEXAS,5646,9497,286034"
"13,GA,GEORGIA,4917,8724,183593"
"24,MD,MARYLAND,4488,6978,217262"
"17,IL,ILLINOIS,4111,5868,274910"
"39,OH,OHIO,3894,6150,181235"
"26,MI,MICHIGAN,2944,4670,139007"
"45,SC,SOUTH CAROLINA,2199,3698,80141"
"04,AZ,ARIZONA,1995,3311,83582"
"53,WA,WASHINGTON,1949,2855,95731"
"08,CO,COLORADO,1889,2824,83879"
"11,DC,DISTRICT OF COLUMBIA,1785,2074,120770"
"47,TN,TENNESSEE,1505,2524,54840"
"27,MN,MINNESOTA,1375,1947,70229"
"29,MO,MISSOURI,1325,2027,64248"
"50,VT,VERMONT,1322,1971,53823"
"18,IN,INDIANA,1295,2187,52832"
"44,RI,RHODE ISLAND,1284,1892,51378"
"33,NH,NEW HAMPSHIRE,1133,1690,52767"
"32,NV,NEVADA,1072,1680,39908"
"55,WI,WISCONSIN,1064,1570,51327"
"41,OR,OREGON,874,1273,32982"
"21,KY,KENTUCKY,840,1490,32068"
"23,ME,MAINE,835,1246,29013"
"22,LA,LOUISIANA,830,1322,29387"
"01,AL,ALABAMA,825,1475,31822"
"40,OK,OKLAHOMA,772,1408,29060"
"10,DE,DELAWARE,715,1185,32865"
"15,HI,HAWAII,684,1072,23370"
"20,KS,KANSAS,623,1096,24669"
"49,UT,UTAH,612,1091,25093"
"19,IA,IOWA,483,768,17762"
"35,NM,NEW MEXICO,469,682,20637"
"05,AR,ARKANSAS,375,633,13589"
"28,MS,MISSISSIPPI,336,589,10538"
"54,WV,WEST VIRGINIA,331,555,10288"
"31,NE,NEBRASKA,323,495,12415"
"02,AK,ALASKA,297,488,10810"
"16,ID,IDAHO,225,412,8588"
"30,MT,MONTANA,209,296,5659"
"56,WY,WYOMING,132,201,7329"
"38,ND,NORTH DAKOTA,117,182,3568"
"46,SD,SOUTH DAKOTA,94,162,3454"
