" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,49-Utah,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,UT,UT Total Mig - US & For,34772,76685,1565297"
"97,UT,UT Total Mig - US,33176,74223,1530200"
"98,UT,UT Total Mig - Foreign,1596,2462,35097"
"49,UT,UT Non-Migrants,831553,2130054,49915586"
"06,CA,CALIFORNIA,6838,16383,293581"
"04,AZ,ARIZONA,2616,6335,106165"
"32,NV,NEVADA,2514,5970,112603"
"16,ID,IDAHO,2485,5520,121337"
"08,CO,COLORADO,1814,4001,87272"
"53,WA,WASHINGTON,1613,3575,73720"
"48,TX,TEXAS,1601,3688,81362"
"57,FR,Foreign,1596,2462,35097"
"12,FL,FLORIDA,1004,2052,53904"
"41,OR,OREGON,963,2048,40302"
"56,WY,WYOMING,841,1705,36489"
"51,VA,VIRGINIA,644,1472,46620"
"35,NM,NEW MEXICO,643,1415,24929"
"36,NY,NEW YORK,548,1044,29747"
"26,MI,MICHIGAN,533,987,21278"
"39,OH,OHIO,530,1091,27835"
"17,IL,ILLINOIS,517,1094,25199"
"30,MT,MONTANA,488,899,17124"
"13,GA,GEORGIA,458,1090,21696"
"42,PA,PENNSYLVANIA,418,821,20405"
"29,MO,MISSOURI,416,1012,17544"
"37,NC,NORTH CAROLINA,414,900,18312"
"15,HI,HAWAII,411,934,14365"
"27,MN,MINNESOTA,333,611,18235"
"47,TN,TENNESSEE,316,711,15046"
"24,MD,MARYLAND,304,666,15210"
"55,WI,WISCONSIN,296,612,18412"
"02,AK,ALASKA,284,600,12946"
"18,IN,INDIANA,277,624,14125"
"25,MA,MASSACHUSETTS,268,477,13892"
"20,KS,KANSAS,263,594,10964"
"34,NJ,NEW JERSEY,244,518,17160"
"40,OK,OKLAHOMA,233,529,8326"
"31,NE,NEBRASKA,202,454,8536"
"19,IA,IOWA,196,440,8639"
"45,SC,SOUTH CAROLINA,167,370,7263"
"22,LA,LOUISIANA,163,340,8455"
"05,AR,ARKANSAS,155,326,6264"
"21,KY,KENTUCKY,150,308,6836"
"09,CT,CONNECTICUT,143,260,7928"
"01,AL,ALABAMA,130,319,8183"
"33,NH,NEW HAMPSHIRE,112,217,5719"
"28,MS,MISSISSIPPI,109,236,4640"
"46,SD,SOUTH DAKOTA,98,203,5764"
"50,VT,VERMONT,94,146,3387"
"23,ME,MAINE,91,174,2850"
"38,ND,NORTH DAKOTA,84,155,2629"
"54,WV,WEST VIRGINIA,57,105,2484"
"10,DE,DELAWARE,36,77,1387"
"11,DC,DISTRICT OF COLUMBIA,35,55,1817"
"44,RI,RHODE ISLAND,27,60,1313"
