" 2007- 2008 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,54-WestVirginia,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,WV,WV Total Mig - US & For,19538,37819,711392"
"97,WV,WV Total Mig - US,19127,37214,704452"
"98,WV,WV Total Mig - Foreign,411,605,6940"
"54,WV,WV Non-Migrants,641858,1371019,29858292"
"39,OH,OHIO,3023,5799,87317"
"51,VA,VIRGINIA,2998,5997,134628"
"24,MD,MARYLAND,2472,4875,70816"
"42,PA,PENNSYLVANIA,1530,2713,59151"
"12,FL,FLORIDA,1398,2572,46845"
"37,NC,NORTH CAROLINA,1298,2573,38384"
"21,KY,KENTUCKY,687,1425,24894"
"45,SC,SOUTH CAROLINA,466,899,15556"
"48,TX,TEXAS,427,845,22110"
"13,GA,GEORGIA,411,802,15500"
"57,FR,Foreign,411,605,6940"
"47,TN,TENNESSEE,395,811,13605"
"36,NY,NEW YORK,368,659,15748"
"06,CA,CALIFORNIA,366,683,15647"
"26,MI,MICHIGAN,313,640,13755"
"34,NJ,NEW JERSEY,288,555,13374"
"18,IN,INDIANA,266,548,10120"
"17,IL,ILLINOIS,183,349,8216"
"04,AZ,ARIZONA,169,316,8419"
"08,CO,COLORADO,142,287,6579"
"01,AL,ALABAMA,140,319,5888"
"29,MO,MISSOURI,140,273,4480"
"53,WA,WASHINGTON,127,272,4045"
"22,LA,LOUISIANA,104,209,6038"
"10,DE,DELAWARE,95,200,4447"
"40,OK,OKLAHOMA,89,195,5899"
"55,WI,WISCONSIN,88,189,4301"
"11,DC,DISTRICT OF COLUMBIA,86,123,4837"
"25,MA,MASSACHUSETTS,84,132,3401"
"32,NV,NEVADA,81,165,3519"
"09,CT,CONNECTICUT,75,158,3905"
"02,AK,ALASKA,61,108,2098"
"20,KS,KANSAS,60,118,1999"
"28,MS,MISSISSIPPI,60,123,1829"
"05,AR,ARKANSAS,56,119,2231"
"41,OR,OREGON,54,111,1865"
"49,UT,UTAH,54,106,2586"
"15,HI,HAWAII,49,105,1766"
"35,NM,NEW MEXICO,48,92,1944"
"19,IA,IOWA,41,73,2233"
"27,MN,MINNESOTA,40,78,1653"
"30,MT,MONTANA,38,61,1155"
"33,NH,NEW HAMPSHIRE,38,89,1835"
"23,ME,MAINE,34,64,2000"
"31,NE,NEBRASKA,34,62,1656"
"56,WY,WYOMING,33,79,1207"
"16,ID,IDAHO,32,68,1100"
"50,VT,VERMONT,27,49,1225"
"38,ND,NORTH DAKOTA,24,43,740"
"44,RI,RHODE ISLAND,19,49,1240"
"46,SD,SOUTH DAKOTA,16,34,666"
