" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,13-Georgia,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,GA,GA Total Mig - US & For,110175,220209,5201270"
"97,GA,GA Total Mig - US,106978,213909,5062346"
"98,GA,GA Total Mig - Foreign,3197,6300,138924"
"13,GA,GA Non-Migrants,3141948,7071562,178282560"
"12,FL,FLORIDA,16539,31899,839928"
"01,AL,ALABAMA,7933,16756,324991"
"48,TX,TEXAS,7825,17337,413131"
"37,NC,NORTH CAROLINA,7480,15024,358324"
"45,SC,SOUTH CAROLINA,6912,13645,327586"
"47,TN,TENNESSEE,6583,13058,294715"
"06,CA,CALIFORNIA,5646,10485,272160"
"36,NY,NEW YORK,4917,8724,183593"
"51,VA,VIRGINIA,4325,8641,221584"
"57,FR,Foreign,3197,6300,138924"
"17,IL,ILLINOIS,2836,5551,137111"
"22,LA,LOUISIANA,2771,5933,86205"
"39,OH,OHIO,2563,5110,101905"
"42,PA,PENNSYLVANIA,2245,4255,111471"
"24,MD,MARYLAND,2093,4024,122606"
"53,WA,WASHINGTON,1756,3725,102556"
"34,NJ,NEW JERSEY,1703,3309,89404"
"28,MS,MISSISSIPPI,1632,3458,60253"
"26,MI,MICHIGAN,1606,3161,59937"
"08,CO,COLORADO,1591,3118,91826"
"21,KY,KENTUCKY,1568,3432,69671"
"04,AZ,ARIZONA,1455,2898,68358"
"18,IN,INDIANA,1432,2893,56884"
"29,MO,MISSOURI,1225,2615,53798"
"25,MA,MASSACHUSETTS,1207,2104,79752"
"40,OK,OKLAHOMA,848,1844,31722"
"32,NV,NEVADA,839,1548,35577"
"20,KS,KANSAS,833,1920,38734"
"05,AR,ARKANSAS,792,1723,37833"
"09,CT,CONNECTICUT,757,1506,51294"
"27,MN,MINNESOTA,733,1501,44001"
"55,WI,WISCONSIN,721,1471,35667"
"41,OR,OREGON,564,1019,26166"
"15,HI,HAWAII,511,1108,19369"
"49,UT,UTAH,458,1090,21696"
"11,DC,DISTRICT OF COLUMBIA,429,562,22687"
"19,IA,IOWA,425,922,22607"
"54,WV,WEST VIRGINIA,411,802,15500"
"35,NM,NEW MEXICO,391,819,16583"
"02,AK,ALASKA,353,750,12759"
"31,NE,NEBRASKA,301,670,13269"
"10,DE,DELAWARE,250,462,10495"
"23,ME,MAINE,237,458,8317"
"33,NH,NEW HAMPSHIRE,219,433,10723"
"30,MT,MONTANA,215,450,11060"
"16,ID,IDAHO,203,455,8171"
"44,RI,RHODE ISLAND,179,311,6175"
"56,WY,WYOMING,153,312,8789"
"46,SD,SOUTH DAKOTA,120,244,17515"
"50,VT,VERMONT,99,188,4619"
"38,ND,NORTH DAKOTA,94,186,3271"
