" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,19-Iowa,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,IA,IA Total Mig - US & For,32342,58497,1463972"
"97,IA,IA Total Mig - US,31879,57711,1445614"
"98,IA,IA Total Mig - Foreign,463,786,18358"
"19,IA,IA Non-Migrants,1141025,2473703,64688372"
"17,IL,ILLINOIS,4285,7428,166189"
"31,NE,NEBRASKA,3234,5915,114207"
"27,MN,MINNESOTA,2525,4367,115195"
"29,MO,MISSOURI,1982,3726,85358"
"48,TX,TEXAS,1919,3854,88629"
"06,CA,CALIFORNIA,1686,2852,63382"
"55,WI,WISCONSIN,1441,2699,69900"
"08,CO,COLORADO,1333,2152,54173"
"12,FL,FLORIDA,1195,2098,94901"
"46,SD,SOUTH DAKOTA,1167,2082,62267"
"04,AZ,ARIZONA,1080,1809,64650"
"20,KS,KANSAS,884,1650,41831"
"37,NC,NORTH CAROLINA,568,1044,30830"
"18,IN,INDIANA,548,1100,32481"
"53,WA,WASHINGTON,514,944,21339"
"39,OH,OHIO,510,981,26030"
"36,NY,NEW YORK,483,768,17762"
"26,MI,MICHIGAN,469,933,23241"
"57,FR,Foreign,463,786,18358"
"13,GA,GEORGIA,449,818,19687"
"47,TN,TENNESSEE,433,867,19973"
"51,VA,VIRGINIA,411,723,19905"
"41,OR,OREGON,346,563,17145"
"40,OK,OKLAHOMA,339,691,14687"
"42,PA,PENNSYLVANIA,331,625,16784"
"32,NV,NEVADA,320,540,12580"
"05,AR,ARKANSAS,313,654,13090"
"45,SC,SOUTH CAROLINA,265,515,12805"
"21,KY,KENTUCKY,248,517,10643"
"24,MD,MARYLAND,224,380,10488"
"49,UT,UTAH,196,440,8639"
"25,MA,MASSACHUSETTS,191,279,8365"
"01,AL,ALABAMA,190,385,8246"
"22,LA,LOUISIANA,164,294,6688"
"35,NM,NEW MEXICO,164,327,7459"
"34,NJ,NEW JERSEY,158,253,7440"
"56,WY,WYOMING,144,262,6016"
"38,ND,NORTH DAKOTA,142,293,6291"
"28,MS,MISSISSIPPI,140,268,5090"
"30,MT,MONTANA,137,264,5431"
"16,ID,IDAHO,123,276,4884"
"15,HI,HAWAII,116,188,3800"
"09,CT,CONNECTICUT,110,212,8748"
"02,AK,ALASKA,99,192,3486"
"11,DC,DISTRICT OF COLUMBIA,84,98,4118"
"23,ME,MAINE,55,95,2498"
"33,NH,NEW HAMPSHIRE,49,89,2627"
"54,WV,WEST VIRGINIA,41,73,2233"
"10,DE,DELAWARE,30,54,1621"
"44,RI,RHODE ISLAND,25,35,787"
"50,VT,VERMONT,19,39,996"
