" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,28-Mississippi,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,MS,MS Total Mig - US & For,30940,62234,1154200"
"97,MS,MS Total Mig - US,30322,61074,1134766"
"98,MS,MS Total Mig - Foreign,618,1160,19434"
"28,MS,MS Non-Migrants,966821,2191607,42598092"
"47,TN,TENNESSEE,4906,9731,180564"
"22,LA,LOUISIANA,3825,7838,137961"
"48,TX,TEXAS,3253,6813,130507"
"01,AL,ALABAMA,3075,6351,126767"
"12,FL,FLORIDA,1976,3648,72912"
"13,GA,GEORGIA,1790,3616,58690"
"05,AR,ARKANSAS,1049,2217,46714"
"06,CA,CALIFORNIA,1013,1979,38267"
"37,NC,NORTH CAROLINA,790,1612,30380"
"17,IL,ILLINOIS,784,1553,22412"
"51,VA,VIRGINIA,752,1534,31224"
"57,FR,Foreign,618,1160,19434"
"29,MO,MISSOURI,600,1240,22159"
"45,SC,SOUTH CAROLINA,441,843,17753"
"39,OH,OHIO,398,855,12954"
"40,OK,OKLAHOMA,394,792,12749"
"18,IN,INDIANA,391,813,12121"
"21,KY,KENTUCKY,379,811,14282"
"04,AZ,ARIZONA,359,722,13443"
"26,MI,MICHIGAN,346,686,10931"
"36,NY,NEW YORK,336,589,10538"
"08,CO,COLORADO,290,572,11098"
"53,WA,WASHINGTON,285,555,11760"
"42,PA,PENNSYLVANIA,258,522,10743"
"55,WI,WISCONSIN,250,505,6654"
"24,MD,MARYLAND,231,420,9664"
"20,KS,KANSAS,209,459,7620"
"32,NV,NEVADA,205,395,8604"
"27,MN,MINNESOTA,154,296,4452"
"34,NJ,NEW JERSEY,140,257,5038"
"19,IA,IOWA,138,289,5206"
"35,NM,NEW MEXICO,134,251,5214"
"31,NE,NEBRASKA,118,249,3580"
"25,MA,MASSACHUSETTS,109,204,4595"
"49,UT,UTAH,109,236,4640"
"41,OR,OREGON,96,179,3659"
"02,AK,ALASKA,94,204,3578"
"15,HI,HAWAII,85,176,2516"
"56,WY,WYOMING,68,145,3162"
"16,ID,IDAHO,64,128,1928"
"54,WV,WEST VIRGINIA,60,123,1829"
"09,CT,CONNECTICUT,57,104,2131"
"30,MT,MONTANA,55,108,2924"
"11,DC,DISTRICT OF COLUMBIA,54,68,2326"
"23,ME,MAINE,45,91,1819"
"10,DE,DELAWARE,35,70,2283"
"46,SD,SOUTH DAKOTA,34,75,1391"
"38,ND,NORTH DAKOTA,28,55,956"
"50,VT,VERMONT,22,37,708"
"33,NH,NEW HAMPSHIRE,21,29,653"
"44,RI,RHODE ISLAND,17,29,708"
