" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,30-Montana,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,MT,MT Total Mig - US & For,14873,26189,539171"
"97,MT,MT Total Mig - US,14537,25641,530346"
"98,MT,MT Total Mig - Foreign,336,548,8825"
"30,MT,MT Non-Migrants,361578,740977,18042532"
"53,WA,WASHINGTON,1854,3133,63840"
"06,CA,CALIFORNIA,1235,2072,44917"
"16,ID,IDAHO,966,1883,34044"
"08,CO,COLORADO,924,1580,36174"
"41,OR,OREGON,895,1389,27018"
"56,WY,WYOMING,872,1590,36609"
"04,AZ,ARIZONA,647,1136,30017"
"48,TX,TEXAS,626,1179,25061"
"49,UT,UTAH,488,899,17124"
"38,ND,NORTH DAKOTA,461,851,16377"
"32,NV,NEVADA,389,678,16526"
"02,AK,ALASKA,381,716,15962"
"27,MN,MINNESOTA,380,672,13699"
"57,FR,Foreign,336,548,8825"
"12,FL,FLORIDA,335,613,12741"
"46,SD,SOUTH DAKOTA,264,488,10223"
"51,VA,VIRGINIA,240,474,10237"
"36,NY,NEW YORK,209,296,5659"
"29,MO,MISSOURI,202,382,6476"
"55,WI,WISCONSIN,200,358,6962"
"17,IL,ILLINOIS,184,307,5786"
"37,NC,NORTH CAROLINA,182,314,6920"
"42,PA,PENNSYLVANIA,173,286,4669"
"35,NM,NEW MEXICO,169,306,7328"
"40,OK,OKLAHOMA,162,318,5678"
"39,OH,OHIO,160,264,5232"
"31,NE,NEBRASKA,151,317,5848"
"26,MI,MICHIGAN,146,225,4225"
"47,TN,TENNESSEE,135,252,4871"
"13,GA,GEORGIA,130,255,4017"
"20,KS,KANSAS,120,242,4453"
"18,IN,INDIANA,119,215,3589"
"15,HI,HAWAII,109,178,4209"
"19,IA,IOWA,106,229,3250"
"45,SC,SOUTH CAROLINA,106,182,3649"
"25,MA,MASSACHUSETTS,91,127,2437"
"24,MD,MARYLAND,78,123,2422"
"21,KY,KENTUCKY,68,127,2358"
"22,LA,LOUISIANA,68,136,2701"
"01,AL,ALABAMA,66,133,2782"
"05,AR,ARKANSAS,62,109,1634"
"50,VT,VERMONT,51,77,2045"
"28,MS,MISSISSIPPI,49,95,2505"
"34,NJ,NEW JERSEY,49,78,1650"
"23,ME,MAINE,45,73,945"
"33,NH,NEW HAMPSHIRE,45,70,1002"
"11,DC,DISTRICT OF COLUMBIA,41,48,1265"
"54,WV,WEST VIRGINIA,38,61,1155"
"09,CT,CONNECTICUT,36,51,1216"
"44,RI,RHODE ISLAND,20,28,552"
"10,DE,DELAWARE,10,26,289"
