" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,34-NewJersey,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,NJ,NJ Total Mig - US & For,103845,185939,7023367"
"97,NJ,NJ Total Mig - US,101091,180717,6814362"
"98,NJ,NJ Total Mig - Foreign,2754,5222,209005"
"34,NJ,NJ Non-Migrants,3323358,7100225,261350854"
"36,NY,NEW YORK,21575,33938,1412681"
"42,PA,PENNSYLVANIA,16584,29830,1013488"
"12,FL,FLORIDA,12857,23600,1026678"
"37,NC,NORTH CAROLINA,5874,12409,344015"
"06,CA,CALIFORNIA,5440,9410,417611"
"51,VA,VIRGINIA,3891,6965,241643"
"13,GA,GEORGIA,3563,7466,185820"
"48,TX,TEXAS,3563,7405,259014"
"24,MD,MARYLAND,2817,4673,169470"
"57,FR,Foreign,2754,5222,209005"
"25,MA,MASSACHUSETTS,2697,4337,206692"
"45,SC,SOUTH CAROLINA,2517,4899,146752"
"09,CT,CONNECTICUT,1819,3200,172294"
"10,DE,DELAWARE,1803,3270,104256"
"17,IL,ILLINOIS,1519,2820,129232"
"04,AZ,ARIZONA,1430,2493,100630"
"39,OH,OHIO,1299,2541,79775"
"08,CO,COLORADO,927,1618,69175"
"47,TN,TENNESSEE,892,1816,59601"
"32,NV,NEVADA,806,1382,46432"
"53,WA,WASHINGTON,745,1338,64279"
"26,MI,MICHIGAN,714,1415,51566"
"11,DC,DISTRICT OF COLUMBIA,562,643,29060"
"18,IN,INDIANA,509,1005,33165"
"27,MN,MINNESOTA,413,756,30097"
"29,MO,MISSOURI,407,800,24894"
"01,AL,ALABAMA,398,784,20096"
"23,ME,MAINE,370,605,23642"
"21,KY,KENTUCKY,362,702,20578"
"33,NH,NEW HAMPSHIRE,361,660,57137"
"44,RI,RHODE ISLAND,360,540,18800"
"41,OR,OREGON,338,537,22252"
"55,WI,WISCONSIN,337,651,26052"
"22,LA,LOUISIANA,332,619,20714"
"50,VT,VERMONT,310,496,26423"
"54,WV,WEST VIRGINIA,288,555,13374"
"15,HI,HAWAII,286,455,12014"
"19,IA,IOWA,278,528,15758"
"35,NM,NEW MEXICO,274,474,22548"
"49,UT,UTAH,244,518,17160"
"20,KS,KANSAS,234,481,15643"
"40,OK,OKLAHOMA,225,447,10332"
"05,AR,ARKANSAS,180,364,10393"
"28,MS,MISSISSIPPI,159,289,7971"
"02,AK,ALASKA,117,209,4482"
"30,MT,MONTANA,105,173,5717"
"31,NE,NEBRASKA,98,199,8020"
"56,WY,WYOMING,64,122,6823"
"16,ID,IDAHO,59,125,5618"
"46,SD,SOUTH DAKOTA,58,107,3480"
"38,ND,NORTH DAKOTA,31,48,1018"
