" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,36-NewYork,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,NY,NY Total Mig - US & For,201570,353872,12298340"
"97,NY,NY Total Mig - US,192494,339191,11642911"
"98,NY,NY Total Mig - Foreign,9076,14681,655429"
"36,NY,NY Non-Migrants,7156671,14558165,469923294"
"12,FL,FLORIDA,28170,50195,1737925"
"34,NJ,NEW JERSEY,27647,49675,2127142"
"42,PA,PENNSYLVANIA,14858,28292,725497"
"06,CA,CALIFORNIA,14540,20926,1019493"
"37,NC,NORTH CAROLINA,12935,25636,610061"
"09,CT,CONNECTICUT,9259,16662,892124"
"57,FR,Foreign,9076,14681,655429"
"13,GA,GEORGIA,8636,17628,362482"
"25,MA,MASSACHUSETTS,8409,12348,515131"
"51,VA,VIRGINIA,7960,13954,385580"
"48,TX,TEXAS,7623,14715,444232"
"24,MD,MARYLAND,5145,8412,267018"
"45,SC,SOUTH CAROLINA,4524,8460,249511"
"17,IL,ILLINOIS,3688,5648,296057"
"39,OH,OHIO,3283,5750,157502"
"04,AZ,ARIZONA,3189,5432,168013"
"08,CO,COLORADO,2403,3701,126580"
"53,WA,WASHINGTON,2274,3655,124225"
"47,TN,TENNESSEE,2080,4012,108413"
"32,NV,NEVADA,1828,2923,94664"
"26,MI,MICHIGAN,1827,3339,86951"
"11,DC,DISTRICT OF COLUMBIA,1595,1892,104213"
"50,VT,VERMONT,1339,2089,75222"
"18,IN,INDIANA,1236,2337,55613"
"41,OR,OREGON,1178,1682,59861"
"01,AL,ALABAMA,1137,2150,46992"
"29,MO,MISSOURI,1128,2010,53457"
"44,RI,RHODE ISLAND,1123,1786,50618"
"27,MN,MINNESOTA,1114,1854,73401"
"33,NH,NEW HAMPSHIRE,1098,1840,64558"
"10,DE,DELAWARE,1068,2013,54514"
"22,LA,LOUISIANA,1050,1783,53326"
"21,KY,KENTUCKY,1022,2078,49275"
"23,ME,MAINE,883,1459,53333"
"55,WI,WISCONSIN,883,1419,49584"
"15,HI,HAWAII,772,1194,41185"
"40,OK,OKLAHOMA,703,1453,27328"
"20,KS,KANSAS,628,1243,28337"
"35,NM,NEW MEXICO,554,866,32712"
"49,UT,UTAH,548,1044,29747"
"19,IA,IOWA,483,869,21212"
"28,MS,MISSISSIPPI,417,749,18290"
"05,AR,ARKANSAS,409,773,19163"
"54,WV,WEST VIRGINIA,368,659,15748"
"02,AK,ALASKA,335,576,10906"
"31,NE,NEBRASKA,270,497,14230"
"30,MT,MONTANA,263,434,9583"
"16,ID,IDAHO,233,407,10907"
"56,WY,WYOMING,154,234,12270"
"46,SD,SOUTH DAKOTA,147,285,6475"
"38,ND,NORTH DAKOTA,78,153,2250"
