" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,37-NorthCarolina,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,NC,NC Total Mig - US & For,103941,200257,4711986"
"97,NC,NC Total Mig - US,100848,194009,4579750"
"98,NC,NC Total Mig - Foreign,3093,6248,132236"
"37,NC,NC Non-Migrants,3175506,7017341,175121985"
"45,SC,SOUTH CAROLINA,12290,24210,599820"
"51,VA,VIRGINIA,10295,19915,436656"
"12,FL,FLORIDA,9734,18130,498153"
"13,GA,GEORGIA,7176,14229,317276"
"48,TX,TEXAS,5736,12351,269667"
"36,NY,NEW YORK,5714,9666,221212"
"06,CA,CALIFORNIA,5189,9632,243041"
"47,TN,TENNESSEE,3771,7467,179793"
"42,PA,PENNSYLVANIA,3419,6322,166199"
"57,FR,Foreign,3093,6248,132236"
"39,OH,OHIO,2957,5644,128559"
"24,MD,MARYLAND,2869,5238,118442"
"17,IL,ILLINOIS,2075,3774,108699"
"34,NJ,NEW JERSEY,2070,3774,95867"
"08,CO,COLORADO,1618,3043,81878"
"25,MA,MASSACHUSETTS,1596,2630,81162"
"53,WA,WASHINGTON,1589,3066,71330"
"01,AL,ALABAMA,1544,3171,69630"
"26,MI,MICHIGAN,1471,2817,58297"
"04,AZ,ARIZONA,1469,2940,71921"
"21,KY,KENTUCKY,1364,2797,52921"
"54,WV,WEST VIRGINIA,1298,2573,38384"
"18,IN,INDIANA,1213,2429,51796"
"29,MO,MISSOURI,1122,2344,48057"
"22,LA,LOUISIANA,1105,2255,39967"
"09,CT,CONNECTICUT,893,1619,43155"
"55,WI,WISCONSIN,764,1463,34371"
"27,MN,MINNESOTA,722,1356,36703"
"40,OK,OKLAHOMA,705,1533,25160"
"28,MS,MISSISSIPPI,698,1465,27370"
"05,AR,ARKANSAS,678,1420,37569"
"11,DC,DISTRICT OF COLUMBIA,670,849,29476"
"20,KS,KANSAS,647,1489,29735"
"15,HI,HAWAII,643,1404,24182"
"32,NV,NEVADA,636,1192,24329"
"41,OR,OREGON,597,1018,25515"
"19,IA,IOWA,571,1130,26905"
"49,UT,UTAH,414,900,18312"
"23,ME,MAINE,396,727,18582"
"33,NH,NEW HAMPSHIRE,381,686,15822"
"10,DE,DELAWARE,376,725,15240"
"02,AK,ALASKA,370,767,14934"
"35,NM,NEW MEXICO,365,708,17201"
"44,RI,RHODE ISLAND,270,550,11752"
"30,MT,MONTANA,260,468,8152"
"31,NE,NEBRASKA,253,536,10282"
"50,VT,VERMONT,236,377,10013"
"16,ID,IDAHO,235,525,11844"
"56,WY,WYOMING,159,289,6756"
"46,SD,SOUTH DAKOTA,143,258,5186"
"38,ND,NORTH DAKOTA,82,138,2479"
