" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,42-Pennsylvania,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,PA,PA Total Mig - US & For,112655,194015,5987701"
"97,PA,PA Total Mig - US,109952,189381,5876845"
"98,PA,PA Total Mig - Foreign,2703,4634,110857"
"42,PA,PA Non-Migrants,4933016,10201237,292783194"
"36,NY,NEW YORK,12748,20533,560471"
"34,NJ,NEW JERSEY,12526,21331,690693"
"12,FL,FLORIDA,11125,19194,732868"
"24,MD,MARYLAND,7361,11517,342621"
"51,VA,VIRGINIA,6561,10697,333080"
"37,NC,NORTH CAROLINA,6162,11416,315030"
"06,CA,CALIFORNIA,5846,9075,351136"
"39,OH,OHIO,4886,8735,225262"
"48,TX,TEXAS,4029,7834,222685"
"10,DE,DELAWARE,4007,7388,202458"
"13,GA,GEORGIA,3182,6294,165841"
"45,SC,SOUTH CAROLINA,2726,5120,153707"
"57,FR,Foreign,2703,4634,110857"
"25,MA,MASSACHUSETTS,2546,3902,160932"
"04,AZ,ARIZONA,2147,3669,109493"
"17,IL,ILLINOIS,2111,3594,148753"
"08,CO,COLORADO,1648,2698,88871"
"54,WV,WEST VIRGINIA,1530,2713,59151"
"47,TN,TENNESSEE,1498,2806,75265"
"53,WA,WASHINGTON,1301,2266,72108"
"09,CT,CONNECTICUT,1280,2163,77428"
"26,MI,MICHIGAN,1192,2152,65319"
"18,IN,INDIANA,1052,2102,58601"
"11,DC,DISTRICT OF COLUMBIA,935,1072,44742"
"32,NV,NEVADA,872,1392,47922"
"29,MO,MISSOURI,819,1557,49084"
"21,KY,KENTUCKY,803,1556,38146"
"55,WI,WISCONSIN,681,1362,49923"
"01,AL,ALABAMA,634,1291,35132"
"27,MN,MINNESOTA,629,1207,46759"
"41,OR,OREGON,586,917,26190"
"22,LA,LOUISIANA,561,1007,25219"
"40,OK,OKLAHOMA,453,898,18848"
"23,ME,MAINE,445,800,24782"
"33,NH,NEW HAMPSHIRE,433,740,24870"
"15,HI,HAWAII,425,640,15006"
"20,KS,KANSAS,425,919,31211"
"49,UT,UTAH,418,821,20405"
"19,IA,IOWA,374,707,17882"
"35,NM,NEW MEXICO,373,670,18940"
"44,RI,RHODE ISLAND,360,594,16397"
"28,MS,MISSISSIPPI,303,545,11052"
"50,VT,VERMONT,297,447,16049"
"05,AR,ARKANSAS,286,571,14540"
"30,MT,MONTANA,276,447,9440"
"02,AK,ALASKA,256,461,9343"
"31,NE,NEBRASKA,211,396,18423"
"16,ID,IDAHO,204,391,10960"
"56,WY,WYOMING,197,332,13097"
"46,SD,SOUTH DAKOTA,144,257,6316"
"38,ND,NORTH DAKOTA,88,185,4396"
