" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,54-WestVirginia,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,WV,WV Total Mig - US & For,18247,33340,712377"
"97,WV,WV Total Mig - US,18045,32999,705499"
"98,WV,WV Total Mig - Foreign,202,341,6878"
"54,WV,WV Non-Migrants,641858,1371019,29858292"
"39,OH,OHIO,2915,5479,93774"
"51,VA,VIRGINIA,2678,4892,104188"
"24,MD,MARYLAND,1566,2694,53129"
"42,PA,PENNSYLVANIA,1528,2635,57762"
"37,NC,NORTH CAROLINA,1520,2813,56098"
"12,FL,FLORIDA,1180,2017,62860"
"21,KY,KENTUCKY,787,1568,28487"
"45,SC,SOUTH CAROLINA,644,1183,25549"
"48,TX,TEXAS,617,1231,30709"
"47,TN,TENNESSEE,478,924,20422"
"13,GA,GEORGIA,401,715,14780"
"06,CA,CALIFORNIA,377,624,12910"
"36,NY,NEW YORK,331,555,10288"
"18,IN,INDIANA,221,448,9870"
"57,FR,Foreign,202,341,6878"
"17,IL,ILLINOIS,200,352,7949"
"26,MI,MICHIGAN,192,375,8865"
"08,CO,COLORADO,180,341,7597"
"04,AZ,ARIZONA,174,299,8062"
"01,AL,ALABAMA,154,309,6814"
"29,MO,MISSOURI,138,279,6791"
"34,NJ,NEW JERSEY,137,215,4253"
"53,WA,WASHINGTON,132,265,4712"
"22,LA,LOUISIANA,111,209,4328"
"40,OK,OKLAHOMA,110,238,4283"
"25,MA,MASSACHUSETTS,98,159,4370"
"32,NV,NEVADA,94,152,6997"
"55,WI,WISCONSIN,86,158,3897"
"11,DC,DISTRICT OF COLUMBIA,82,105,3617"
"10,DE,DELAWARE,75,139,3425"
"05,AR,ARKANSAS,68,150,4977"
"28,MS,MISSISSIPPI,64,146,2314"
"20,KS,KANSAS,59,117,2348"
"49,UT,UTAH,57,105,2484"
"19,IA,IOWA,54,118,3583"
"27,MN,MINNESOTA,52,92,2633"
"41,OR,OREGON,52,80,1746"
"09,CT,CONNECTICUT,48,86,2546"
"35,NM,NEW MEXICO,45,79,2256"
"15,HI,HAWAII,42,75,1402"
"02,AK,ALASKA,41,71,1292"
"30,MT,MONTANA,37,69,1874"
"31,NE,NEBRASKA,35,74,1385"
"50,VT,VERMONT,31,54,1517"
"56,WY,WYOMING,31,76,1658"
"16,ID,IDAHO,27,49,1000"
"23,ME,MAINE,24,49,782"
"33,NH,NEW HAMPSHIRE,24,44,1107"
"46,SD,SOUTH DAKOTA,23,48,1032"
"44,RI,RHODE ISLAND,15,23,460"
"38,ND,NORTH DAKOTA,10,21,315"
