" 2007- 2008 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,56-Wyoming,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,WY,WY Total Mig - US & For,12186,22631,538508"
"97,WY,WY Total Mig - US,11927,22205,530794"
"98,WY,WY Total Mig - Foreign,259,426,7714"
"56,WY,WY Non-Migrants,197498,418455,13419426"
"08,CO,COLORADO,2053,3681,102423"
"30,MT,MONTANA,847,1530,33432"
"49,UT,UTAH,841,1705,36489"
"48,TX,TEXAS,798,1637,37252"
"06,CA,CALIFORNIA,605,992,28381"
"16,ID,IDAHO,579,1173,25249"
"04,AZ,ARIZONA,509,945,23392"
"46,SD,SOUTH DAKOTA,498,891,18731"
"53,WA,WASHINGTON,461,835,19074"
"31,NE,NEBRASKA,410,794,15978"
"41,OR,OREGON,332,606,11613"
"57,FR,Foreign,259,426,7714"
"12,FL,FLORIDA,246,416,10184"
"32,NV,NEVADA,242,436,12632"
"35,NM,NEW MEXICO,212,428,11735"
"40,OK,OKLAHOMA,212,432,10530"
"27,MN,MINNESOTA,190,316,8087"
"29,MO,MISSOURI,188,385,7785"
"20,KS,KANSAS,169,313,9339"
"37,NC,NORTH CAROLINA,156,277,5881"
"38,ND,NORTH DAKOTA,155,286,6910"
"17,IL,ILLINOIS,141,264,5348"
"26,MI,MICHIGAN,140,287,4385"
"19,IA,IOWA,137,287,4833"
"36,NY,NEW YORK,132,201,7329"
"02,AK,ALASKA,128,227,6399"
"55,WI,WISCONSIN,124,213,4509"
"13,GA,GEORGIA,120,230,4581"
"47,TN,TENNESSEE,119,244,4745"
"51,VA,VIRGINIA,118,198,5749"
"42,PA,PENNSYLVANIA,111,179,4182"
"39,OH,OHIO,101,189,4337"
"05,AR,ARKANSAS,99,204,5192"
"18,IN,INDIANA,97,180,4346"
"22,LA,LOUISIANA,86,171,3908"
"45,SC,SOUTH CAROLINA,78,160,3152"
"21,KY,KENTUCKY,71,127,2933"
"01,AL,ALABAMA,70,131,3281"
"28,MS,MISSISSIPPI,45,114,2354"
"15,HI,HAWAII,44,74,1811"
"24,MD,MARYLAND,41,76,1571"
"34,NJ,NEW JERSEY,39,70,2185"
"25,MA,MASSACHUSETTS,36,47,1533"
"54,WV,WEST VIRGINIA,33,79,1207"
"23,ME,MAINE,22,34,1390"
"50,VT,VERMONT,22,34,788"
"09,CT,CONNECTICUT,20,28,1417"
"33,NH,NEW HAMPSHIRE,19,32,771"
"11,DC,DISTRICT OF COLUMBIA,17,21,1001"
"10,DE,DELAWARE,11,19,395"
"44,RI,RHODE ISLAND,3,7,63"
