" 2008- 2009 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,31-Nebraska,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NE,NE Total Mig - US & For,21176,41148,849926"
"97,NE,NE Total Mig - US,20324,39865,832749"
"98,NE,NE Total Mig - Foreign,852,1283,17177"
"31,NE,NE Non-Migrants,684154,1497466,38927590"
"19,IA,IOWA,3307,5959,114261"
"06,CA,CALIFORNIA,1516,3112,59751"
"08,CO,COLORADO,1457,2798,54962"
"20,KS,KANSAS,1346,2650,53346"
"48,TX,TEXAS,1278,2740,54258"
"29,MO,MISSOURI,976,1879,42919"
"46,SD,SOUTH DAKOTA,893,1636,31129"
"57,FR,Foreign,852,1283,17177"
"12,FL,FLORIDA,845,1634,29089"
"04,AZ,ARIZONA,761,1554,30928"
"17,IL,ILLINOIS,723,1373,37552"
"27,MN,MINNESOTA,675,1233,27566"
"56,WY,WYOMING,419,800,31210"
"53,WA,WASHINGTON,383,778,16441"
"13,GA,GEORGIA,339,736,16045"
"26,MI,MICHIGAN,322,650,12510"
"51,VA,VIRGINIA,308,662,16517"
"36,NY,NEW YORK,284,473,12246"
"39,OH,OHIO,284,551,13343"
"55,WI,WISCONSIN,280,540,11927"
"32,NV,NEVADA,273,538,10923"
"40,OK,OKLAHOMA,263,578,10151"
"37,NC,NORTH CAROLINA,253,542,12523"
"42,PA,PENNSYLVANIA,235,464,11178"
"47,TN,TENNESSEE,227,466,8603"
"18,IN,INDIANA,209,418,9316"
"49,UT,UTAH,198,484,6959"
"05,AR,ARKANSAS,188,378,7041"
"41,OR,OREGON,177,330,6542"
"35,NM,NEW MEXICO,156,327,5843"
"38,ND,NORTH DAKOTA,154,307,6751"
"16,ID,IDAHO,143,339,5093"
"01,AL,ALABAMA,137,297,7676"
"30,MT,MONTANA,133,239,3600"
"24,MD,MARYLAND,126,246,6823"
"34,NJ,NEW JERSEY,124,221,6502"
"21,KY,KENTUCKY,106,226,5261"
"22,LA,LOUISIANA,105,240,3849"
"15,HI,HAWAII,103,210,3876"
"25,MA,MASSACHUSETTS,98,180,5212"
"45,SC,SOUTH CAROLINA,98,221,4368"
"28,MS,MISSISSIPPI,90,184,2763"
"02,AK,ALASKA,84,176,4188"
"09,CT,CONNECTICUT,72,152,3897"
"54,WV,WEST VIRGINIA,34,75,1459"
"23,ME,MAINE,30,55,1177"
"11,DC,DISTRICT OF COLUMBIA,29,48,1624"
"33,NH,NEW HAMPSHIRE,26,48,1070"
"44,RI,RHODE ISLAND,24,65,790"
"10,DE,DELAWARE,19,33,1152"
"50,VT,VERMONT,14,20,537"
