" 2008- 2009 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,32-Nevada,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,NV,NV Total Mig - US & For,52333,96624,2390087"
"97,NV,NV Total Mig - US,50776,93997,2332959"
"98,NV,NV Total Mig - Foreign,1557,2627,57128"
"32,NV,NV Non-Migrants,957278,2053771,54369488"
"06,CA,CALIFORNIA,16914,32269,764541"
"04,AZ,ARIZONA,3316,6741,137256"
"12,FL,FLORIDA,2340,4080,96296"
"48,TX,TEXAS,2338,4422,107288"
"49,UT,UTAH,1852,3988,76576"
"53,WA,WASHINGTON,1829,3261,96044"
"57,FR,Foreign,1557,2627,57128"
"17,IL,ILLINOIS,1537,2787,75949"
"08,CO,COLORADO,1457,2594,59662"
"26,MI,MICHIGAN,1444,2454,92494"
"36,NY,NEW YORK,1439,2284,78410"
"41,OR,OREGON,1333,2316,55306"
"39,OH,OHIO,1157,1882,49436"
"15,HI,HAWAII,1100,2025,47138"
"16,ID,IDAHO,850,1734,32727"
"51,VA,VIRGINIA,720,1385,38902"
"13,GA,GEORGIA,708,1357,32376"
"35,NM,NEW MEXICO,678,1281,28953"
"42,PA,PENNSYLVANIA,657,1069,33148"
"34,NJ,NEW JERSEY,582,976,31213"
"55,WI,WISCONSIN,562,885,22663"
"37,NC,NORTH CAROLINA,552,1014,26358"
"29,MO,MISSOURI,551,1004,26622"
"27,MN,MINNESOTA,547,905,26513"
"18,IN,INDIANA,505,899,27109"
"47,TN,TENNESSEE,425,750,19809"
"25,MA,MASSACHUSETTS,409,600,17102"
"24,MD,MARYLAND,394,686,21977"
"30,MT,MONTANA,362,659,17552"
"02,AK,ALASKA,361,708,19954"
"40,OK,OKLAHOMA,347,670,14186"
"20,KS,KANSAS,302,607,13867"
"45,SC,SOUTH CAROLINA,280,553,14530"
"19,IA,IOWA,278,482,11538"
"22,LA,LOUISIANA,273,497,11383"
"31,NE,NEBRASKA,249,443,14863"
"21,KY,KENTUCKY,246,452,12994"
"56,WY,WYOMING,234,453,10828"
"05,AR,ARKANSAS,225,419,8055"
"09,CT,CONNECTICUT,223,332,11926"
"01,AL,ALABAMA,203,372,7159"
"28,MS,MISSISSIPPI,193,342,6855"
"46,SD,SOUTH DAKOTA,164,291,7532"
"38,ND,NORTH DAKOTA,138,253,5830"
"23,ME,MAINE,97,168,3577"
"33,NH,NEW HAMPSHIRE,92,140,4338"
"44,RI,RHODE ISLAND,87,143,3523"
"54,WV,WEST VIRGINIA,79,137,4346"
"11,DC,DISTRICT OF COLUMBIA,58,72,2554"
"10,DE,DELAWARE,51,91,2485"
"50,VT,VERMONT,38,65,1214"
