" 2008- 2009 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,38-NorthDakota,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,ND,ND Total Mig - US & For,11114,19562,402941"
"97,ND,ND Total Mig - US,10538,18640,390284"
"98,ND,ND Total Mig - Foreign,576,922,12657"
"38,ND,ND Non-Migrants,258096,533895,15138131"
"27,MN,MINNESOTA,3872,6020,130578"
"46,SD,SOUTH DAKOTA,739,1367,26214"
"57,FR,Foreign,576,922,12657"
"30,MT,MONTANA,572,1016,23675"
"06,CA,CALIFORNIA,442,765,15060"
"48,TX,TEXAS,435,916,17663"
"08,CO,COLORADO,364,689,16280"
"04,AZ,ARIZONA,292,547,11501"
"12,FL,FLORIDA,271,485,8993"
"53,WA,WASHINGTON,271,513,9704"
"55,WI,WISCONSIN,245,424,9389"
"56,WY,WYOMING,217,423,11818"
"31,NE,NEBRASKA,172,345,6961"
"19,IA,IOWA,171,361,9412"
"26,MI,MICHIGAN,161,277,4715"
"17,IL,ILLINOIS,158,292,7001"
"32,NV,NEVADA,126,226,4618"
"41,OR,OREGON,119,208,4497"
"36,NY,NEW YORK,117,185,4422"
"39,OH,OHIO,111,194,4379"
"16,ID,IDAHO,108,234,3915"
"37,NC,NORTH CAROLINA,107,222,3730"
"29,MO,MISSOURI,98,189,3888"
"40,OK,OKLAHOMA,97,213,3753"
"22,LA,LOUISIANA,95,209,3991"
"51,VA,VIRGINIA,91,222,4164"
"13,GA,GEORGIA,90,192,3005"
"49,UT,UTAH,90,187,3436"
"47,TN,TENNESSEE,84,151,2369"
"35,NM,NEW MEXICO,79,170,3509"
"42,PA,PENNSYLVANIA,79,148,3750"
"02,AK,ALASKA,73,175,3515"
"20,KS,KANSAS,70,132,2611"
"18,IN,INDIANA,68,140,2416"
"24,MD,MARYLAND,55,89,2196"
"01,AL,ALABAMA,47,98,1501"
"45,SC,SOUTH CAROLINA,44,89,1383"
"05,AR,ARKANSAS,40,76,1296"
"34,NJ,NEW JERSEY,37,68,1647"
"21,KY,KENTUCKY,34,54,937"
"25,MA,MASSACHUSETTS,34,49,1080"
"15,HI,HAWAII,33,68,1304"
"28,MS,MISSISSIPPI,32,53,1100"
"23,ME,MAINE,21,40,494"
"09,CT,CONNECTICUT,17,27,603"
"54,WV,WEST VIRGINIA,17,28,841"
"33,NH,NEW HAMPSHIRE,15,22,319"
"10,DE,DELAWARE,10,15,193"
"50,VT,VERMONT,10,17,270"
"44,RI,RHODE ISLAND,5,5,62"
"11,DC,DISTRICT OF COLUMBIA,3,5,124"
