" 2008- 2009 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,47-Tennessee,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,TN,TN Total Mig - US & For,77078,149961,3304561"
"97,TN,TN Total Mig - US,75177,146931,3253018"
"98,TN,TN Total Mig - Foreign,1901,3030,51543"
"47,TN,TN Non-Migrants,2242902,4865540,112625501"
"12,FL,FLORIDA,8775,17084,353250"
"13,GA,GEORGIA,6334,12335,254778"
"21,KY,KENTUCKY,4790,9508,155194"
"28,MS,MISSISSIPPI,4732,9384,155280"
"48,TX,TEXAS,3867,7963,197220"
"37,NC,NORTH CAROLINA,3505,6983,147638"
"06,CA,CALIFORNIA,3476,6852,187878"
"51,VA,VIRGINIA,3412,6649,158924"
"01,AL,ALABAMA,3386,6711,134179"
"26,MI,MICHIGAN,3117,6161,133411"
"39,OH,OHIO,2891,5447,130847"
"17,IL,ILLINOIS,2886,5457,145986"
"18,IN,INDIANA,2248,4320,90074"
"36,NY,NEW YORK,2005,3653,91854"
"57,FR,Foreign,1901,3030,51543"
"05,AR,ARKANSAS,1730,3299,60476"
"45,SC,SOUTH CAROLINA,1652,3335,80766"
"29,MO,MISSOURI,1467,2952,69930"
"42,PA,PENNSYLVANIA,1298,2310,62459"
"22,LA,LOUISIANA,1156,2271,48204"
"04,AZ,ARIZONA,971,1963,41126"
"24,MD,MARYLAND,937,1770,49854"
"55,WI,WISCONSIN,863,1672,43197"
"08,CO,COLORADO,854,1673,41016"
"34,NJ,NEW JERSEY,796,1517,46872"
"53,WA,WASHINGTON,788,1616,34137"
"25,MA,MASSACHUSETTS,612,1113,28746"
"40,OK,OKLAHOMA,611,1221,23883"
"27,MN,MINNESOTA,520,957,24216"
"20,KS,KANSAS,514,1060,21780"
"32,NV,NEVADA,497,945,37791"
"19,IA,IOWA,437,855,19065"
"41,OR,OREGON,406,749,15798"
"54,WV,WEST VIRGINIA,406,765,14994"
"09,CT,CONNECTICUT,394,776,23690"
"15,HI,HAWAII,319,688,12777"
"49,UT,UTAH,281,610,10856"
"35,NM,NEW MEXICO,267,533,12808"
"31,NE,NEBRASKA,252,472,10461"
"02,AK,ALASKA,223,492,11407"
"23,ME,MAINE,203,390,8661"
"33,NH,NEW HAMPSHIRE,189,338,7767"
"16,ID,IDAHO,183,381,6796"
"30,MT,MONTANA,149,297,4593"
"11,DC,DISTRICT OF COLUMBIA,137,193,7916"
"10,DE,DELAWARE,130,244,9718"
"50,VT,VERMONT,124,237,4844"
"44,RI,RHODE ISLAND,107,201,9962"
"46,SD,SOUTH DAKOTA,107,198,3894"
"56,WY,WYOMING,92,158,3235"
"38,ND,NORTH DAKOTA,81,173,2808"
