" 2008- 2009 State To State Migration Flows - INFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"TO:,51-Virginia,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"FROM:,,,,,"
"96,VA,VA Total Mig - US & For,127737,240535,6608387"
"97,VA,VA Total Mig - US,117836,221563,6172836"
"98,VA,VA Total Mig - Foreign,9901,18972,435552"
"51,VA,VA Non-Migrants,2920571,6185123,197153467"
"24,MD,MARYLAND,13105,22938,709447"
"37,NC,NORTH CAROLINA,10840,21705,467263"
"57,FR,Foreign,9901,18972,435552"
"12,FL,FLORIDA,9818,18342,466975"
"36,NY,NEW YORK,7588,13092,388424"
"06,CA,CALIFORNIA,7406,14941,450264"
"42,PA,PENNSYLVANIA,6203,10049,284801"
"48,TX,TEXAS,5707,12021,333493"
"13,GA,GEORGIA,4633,9454,221209"
"11,DC,DISTRICT OF COLUMBIA,4428,6398,314282"
"34,NJ,NEW JERSEY,3867,6909,234950"
"39,OH,OHIO,3312,6038,157646"
"47,TN,TENNESSEE,3115,6062,122327"
"45,SC,SOUTH CAROLINA,2936,5698,117991"
"17,IL,ILLINOIS,2626,4788,155028"
"26,MI,MICHIGAN,2598,4945,163962"
"54,WV,WEST VIRGINIA,2486,4666,102238"
"25,MA,MASSACHUSETTS,2161,3599,135767"
"53,WA,WASHINGTON,1849,3721,103127"
"08,CO,COLORADO,1564,3120,97700"
"04,AZ,ARIZONA,1528,2976,89238"
"09,CT,CONNECTICUT,1367,2433,83044"
"01,AL,ALABAMA,1304,2791,68435"
"18,IN,INDIANA,1228,2283,72320"
"15,HI,HAWAII,1221,3088,67336"
"21,KY,KENTUCKY,1140,2214,48967"
"29,MO,MISSOURI,1105,2075,60193"
"22,LA,LOUISIANA,971,1983,54084"
"55,WI,WISCONSIN,868,1557,44036"
"27,MN,MINNESOTA,783,1313,45106"
"32,NV,NEVADA,778,1496,37340"
"20,KS,KANSAS,753,1725,43903"
"40,OK,OKLAHOMA,745,1586,34296"
"10,DE,DELAWARE,708,1275,33934"
"28,MS,MISSISSIPPI,693,1463,38298"
"35,NM,NEW MEXICO,599,1291,37949"
"49,UT,UTAH,591,1371,29460"
"23,ME,MAINE,590,1070,23772"
"33,NH,NEW HAMPSHIRE,586,1041,29701"
"44,RI,RHODE ISLAND,531,1170,30831"
"41,OR,OREGON,518,920,24238"
"19,IA,IOWA,490,897,25040"
"02,AK,ALASKA,445,1056,24607"
"05,AR,ARKANSAS,410,810,18551"
"31,NE,NEBRASKA,374,784,21406"
"16,ID,IDAHO,363,796,19794"
"50,VT,VERMONT,308,502,12633"
"30,MT,MONTANA,198,350,7834"
"56,WY,WYOMING,141,254,6514"
"46,SD,SOUTH DAKOTA,136,266,7239"
"38,ND,NORTH DAKOTA,122,241,5843"
