" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,04-Arizona,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,AZ,AZ Total Mig - US & For,85291,168256,3644916"
"97,AZ,AZ Total Mig - US,83300,164407,3564217"
"98,AZ,AZ Total Mig - Foreign,1991,3849,80699"
"04,AZ,AZ Non-Migrants,2080423,4657503,114766996"
"06,CA,CALIFORNIA,16252,31503,673561"
"48,TX,TEXAS,7744,16933,349336"
"08,CO,COLORADO,4668,9256,203921"
"53,WA,WASHINGTON,4183,7992,181855"
"35,NM,NEW MEXICO,4094,9528,139408"
"32,NV,NEVADA,3316,6741,137256"
"17,IL,ILLINOIS,2753,4846,117634"
"12,FL,FLORIDA,2744,4896,119776"
"49,UT,UTAH,2501,6190,97480"
"41,OR,OREGON,2461,4415,97601"
"36,NY,NEW YORK,2078,3445,88514"
"57,FR,Foreign,1991,3849,80699"
"26,MI,MICHIGAN,1685,2976,59416"
"37,NC,NORTH CAROLINA,1676,3406,73962"
"39,OH,OHIO,1613,2964,66685"
"51,VA,VIRGINIA,1528,2976,89238"
"27,MN,MINNESOTA,1412,2530,71887"
"13,GA,GEORGIA,1396,2929,69921"
"42,PA,PENNSYLVANIA,1371,2468,65918"
"29,MO,MISSOURI,1350,2552,53482"
"55,WI,WISCONSIN,1311,2411,55463"
"40,OK,OKLAHOMA,1137,2438,38961"
"18,IN,INDIANA,1134,2145,48087"
"16,ID,IDAHO,1010,2242,38124"
"20,KS,KANSAS,992,2109,40534"
"47,TN,TENNESSEE,971,1963,41126"
"19,IA,IOWA,919,1735,35152"
"25,MA,MASSACHUSETTS,872,1352,40301"
"24,MD,MARYLAND,773,1417,41085"
"31,NE,NEBRASKA,761,1554,30928"
"15,HI,HAWAII,717,1417,32091"
"34,NJ,NEW JERSEY,714,1242,42989"
"30,MT,MONTANA,651,1226,26428"
"05,AR,ARKANSAS,626,1276,22620"
"02,AK,ALASKA,589,1175,26472"
"45,SC,SOUTH CAROLINA,585,1141,28183"
"21,KY,KENTUCKY,573,1157,22421"
"56,WY,WYOMING,535,1098,28288"
"22,LA,LOUISIANA,528,1020,18920"
"01,AL,ALABAMA,496,1089,24243"
"46,SD,SOUTH DAKOTA,447,860,19124"
"09,CT,CONNECTICUT,392,672,21672"
"28,MS,MISSISSIPPI,301,613,10740"
"38,ND,NORTH DAKOTA,292,547,11501"
"33,NH,NEW HAMPSHIRE,226,405,8935"
"23,ME,MAINE,208,371,13588"
"11,DC,DISTRICT OF COLUMBIA,184,233,11483"
"54,WV,WEST VIRGINIA,163,305,5779"
"10,DE,DELAWARE,130,230,6811"
"44,RI,RHODE ISLAND,119,218,10048"
"50,VT,VERMONT,119,200,5269"
