" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,05-Arkansas,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,AR,AR Total Mig - US & For,28897,58510,1111141"
"97,AR,AR Total Mig - US,28359,57493,1093110"
"98,AR,AR Total Mig - Foreign,538,1017,18031"
"05,AR,AR Non-Migrants,968501,2145868,45562945"
"48,TX,TEXAS,5878,12223,244915"
"40,OK,OKLAHOMA,2866,6202,88598"
"29,MO,MISSOURI,2596,5259,79357"
"47,TN,TENNESSEE,1730,3299,60476"
"06,CA,CALIFORNIA,1377,2760,46754"
"22,LA,LOUISIANA,1355,2852,48276"
"12,FL,FLORIDA,1295,2471,50881"
"28,MS,MISSISSIPPI,890,1864,30526"
"17,IL,ILLINOIS,815,1559,29899"
"13,GA,GEORGIA,701,1444,28634"
"20,KS,KANSAS,640,1344,23352"
"08,CO,COLORADO,564,1042,23045"
"37,NC,NORTH CAROLINA,547,1143,23830"
"57,FR,Foreign,538,1017,18031"
"04,AZ,ARIZONA,528,1005,18884"
"01,AL,ALABAMA,458,970,20048"
"51,VA,VIRGINIA,410,810,18551"
"36,NY,NEW YORK,398,679,16846"
"18,IN,INDIANA,381,778,14507"
"26,MI,MICHIGAN,366,721,13209"
"39,OH,OHIO,365,763,21019"
"53,WA,WASHINGTON,352,680,13407"
"19,IA,IOWA,289,580,10797"
"21,KY,KENTUCKY,286,635,13418"
"55,WI,WISCONSIN,282,561,11922"
"45,SC,SOUTH CAROLINA,254,473,12353"
"42,PA,PENNSYLVANIA,237,445,12066"
"35,NM,NEW MEXICO,235,514,8580"
"27,MN,MINNESOTA,234,474,12974"
"32,NV,NEVADA,225,419,8055"
"41,OR,OREGON,193,362,5553"
"31,NE,NEBRASKA,188,378,7041"
"24,MD,MARYLAND,172,348,9332"
"49,UT,UTAH,147,314,19207"
"02,AK,ALASKA,141,304,5536"
"34,NJ,NEW JERSEY,121,249,8531"
"25,MA,MASSACHUSETTS,117,171,4281"
"56,WY,WYOMING,88,168,2908"
"30,MT,MONTANA,80,167,2349"
"15,HI,HAWAII,76,152,2077"
"09,CT,CONNECTICUT,74,141,5295"
"54,WV,WEST VIRGINIA,71,145,2732"
"16,ID,IDAHO,70,162,2736"
"46,SD,SOUTH DAKOTA,60,114,2560"
"11,DC,DISTRICT OF COLUMBIA,45,49,1729"
"38,ND,NORTH DAKOTA,40,76,1296"
"10,DE,DELAWARE,32,61,1583"
"23,ME,MAINE,25,48,787"
"33,NH,NEW HAMPSHIRE,24,46,1045"
"50,VT,VERMONT,21,33,612"
"44,RI,RHODE ISLAND,20,36,739"
