" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,18-Indiana,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,IN,IN Total Mig - US & For,60179,113651,2662140"
"97,IN,IN Total Mig - US,59113,111886,2624958"
"98,IN,IN Total Mig - Foreign,1066,1765,37182"
"18,IN,IN Non-Migrants,2442713,5380090,129379086"
"17,IL,ILLINOIS,8527,15727,335041"
"12,FL,FLORIDA,5070,9166,291079"
"21,KY,KENTUCKY,4990,9477,168237"
"39,OH,OHIO,4631,8734,194985"
"48,TX,TEXAS,3756,7706,163041"
"26,MI,MICHIGAN,3644,7333,161777"
"06,CA,CALIFORNIA,2833,4981,121882"
"47,TN,TENNESSEE,2248,4320,90074"
"37,NC,NORTH CAROLINA,1782,3449,82878"
"13,GA,GEORGIA,1668,3304,67350"
"04,AZ,ARIZONA,1589,2956,71236"
"29,MO,MISSOURI,1263,2494,57947"
"36,NY,NEW YORK,1240,2072,63558"
"51,VA,VIRGINIA,1228,2283,72320"
"08,CO,COLORADO,1114,1917,49641"
"55,WI,WISCONSIN,1098,2190,55785"
"42,PA,PENNSYLVANIA,1090,2133,57308"
"57,FR,Foreign,1066,1765,37182"
"45,SC,SOUTH CAROLINA,874,1691,45128"
"53,WA,WASHINGTON,814,1548,36117"
"01,AL,ALABAMA,746,1525,31189"
"27,MN,MINNESOTA,654,1269,32693"
"19,IA,IOWA,610,1239,28262"
"24,MD,MARYLAND,556,947,25554"
"20,KS,KANSAS,549,1091,21711"
"32,NV,NEVADA,505,899,27109"
"05,AR,ARKANSAS,489,987,18177"
"40,OK,OKLAHOMA,488,1004,17916"
"34,NJ,NEW JERSEY,475,843,27191"
"22,LA,LOUISIANA,470,901,17305"
"25,MA,MASSACHUSETTS,469,798,25981"
"41,OR,OREGON,457,748,18879"
"28,MS,MISSISSIPPI,421,851,15452"
"49,UT,UTAH,274,610,13308"
"35,NM,NEW MEXICO,264,497,12496"
"09,CT,CONNECTICUT,262,468,17834"
"54,WV,WEST VIRGINIA,254,512,9158"
"15,HI,HAWAII,217,362,6102"
"31,NE,NEBRASKA,209,418,9316"
"02,AK,ALASKA,166,319,7578"
"11,DC,DISTRICT OF COLUMBIA,152,182,6456"
"56,WY,WYOMING,146,295,6392"
"30,MT,MONTANA,132,250,6210"
"16,ID,IDAHO,130,310,6508"
"46,SD,SOUTH DAKOTA,115,233,6756"
"23,ME,MAINE,99,175,4967"
"33,NH,NEW HAMPSHIRE,94,182,7584"
"10,DE,DELAWARE,77,147,3512"
"38,ND,NORTH DAKOTA,68,140,2416"
"44,RI,RHODE ISLAND,56,112,2501"
"50,VT,VERMONT,50,91,3062"
