" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,24-Maryland,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,MD,MD Total Mig - US & For,78735,141405,4362334"
"97,MD,MD Total Mig - US,76097,136170,4228876"
"98,MD,MD Total Mig - Foreign,2638,5235,133458"
"24,MD,MD Non-Migrants,2163741,4515169,152936595"
"51,VA,VIRGINIA,13105,22938,709447"
"42,PA,PENNSYLVANIA,7574,13633,390391"
"11,DC,DISTRICT OF COLUMBIA,7458,12034,347845"
"12,FL,FLORIDA,5303,9505,417837"
"37,NC,NORTH CAROLINA,4306,8285,217728"
"36,NY,NEW YORK,4173,6411,186275"
"06,CA,CALIFORNIA,3676,6202,247068"
"48,TX,TEXAS,3428,7024,196109"
"10,DE,DELAWARE,2666,4777,142594"
"57,FR,Foreign,2638,5235,133458"
"13,GA,GEORGIA,2504,4909,124739"
"54,WV,WEST VIRGINIA,2331,4616,106603"
"34,NJ,NEW JERSEY,1886,3314,107898"
"45,SC,SOUTH CAROLINA,1640,3059,87887"
"25,MA,MASSACHUSETTS,1279,1975,81815"
"39,OH,OHIO,1253,2388,69891"
"17,IL,ILLINOIS,1112,1902,71664"
"08,CO,COLORADO,963,1623,58266"
"53,WA,WASHINGTON,945,1798,57420"
"47,TN,TENNESSEE,937,1770,49854"
"04,AZ,ARIZONA,851,1521,50118"
"26,MI,MICHIGAN,616,1063,35339"
"09,CT,CONNECTICUT,589,1061,40687"
"01,AL,ALABAMA,579,1202,35009"
"18,IN,INDIANA,484,935,25159"
"15,HI,HAWAII,458,978,26644"
"29,MO,MISSOURI,455,854,26085"
"22,LA,LOUISIANA,453,810,23164"
"21,KY,KENTUCKY,408,806,21924"
"32,NV,NEVADA,394,686,21977"
"41,OR,OREGON,393,653,21593"
"27,MN,MINNESOTA,347,613,18789"
"55,WI,WISCONSIN,332,614,27953"
"40,OK,OKLAHOMA,319,601,12327"
"35,NM,NEW MEXICO,275,507,18886"
"49,UT,UTAH,271,551,15932"
"20,KS,KANSAS,269,583,17772"
"23,ME,MAINE,254,502,15115"
"33,NH,NEW HAMPSHIRE,230,413,16767"
"28,MS,MISSISSIPPI,223,435,9926"
"19,IA,IOWA,198,379,9804"
"05,AR,ARKANSAS,191,393,8459"
"44,RI,RHODE ISLAND,162,312,11683"
"02,AK,ALASKA,153,312,6811"
"50,VT,VERMONT,151,270,9057"
"31,NE,NEBRASKA,126,246,6823"
"30,MT,MONTANA,99,172,5861"
"16,ID,IDAHO,88,183,7043"
"56,WY,WYOMING,71,141,3543"
"46,SD,SOUTH DAKOTA,64,122,5100"
"38,ND,NORTH DAKOTA,55,89,2196"
