" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,25-Massachusetts,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,MA,MA Total Mig - US & For,68694,109127,3920881"
"97,MA,MA Total Mig - US,65728,104390,3776957"
"98,MA,MA Total Mig - Foreign,2966,4737,143924"
"25,MA,MA Non-Migrants,2526004,5092348,183986449"
"36,NY,NEW YORK,7917,10987,393312"
"12,FL,FLORIDA,6974,11800,430222"
"06,CA,CALIFORNIA,6171,8840,403246"
"33,NH,NEW HAMPSHIRE,6122,9891,343661"
"09,CT,CONNECTICUT,3738,5708,220332"
"44,RI,RHODE ISLAND,3658,5674,166003"
"57,FR,Foreign,2966,4737,143924"
"48,TX,TEXAS,2416,4451,152442"
"37,NC,NORTH CAROLINA,2325,4289,127744"
"51,VA,VIRGINIA,2161,3599,135767"
"42,PA,PENNSYLVANIA,2124,3436,128158"
"23,ME,MAINE,1919,3089,99799"
"34,NJ,NEW JERSEY,1917,3147,136584"
"17,IL,ILLINOIS,1518,2295,107089"
"13,GA,GEORGIA,1420,2618,74853"
"24,MD,MARYLAND,1372,2150,80119"
"50,VT,VERMONT,1089,1599,53071"
"08,CO,COLORADO,1070,1608,70365"
"53,WA,WASHINGTON,1057,1631,54407"
"04,AZ,ARIZONA,1022,1646,57085"
"39,OH,OHIO,947,1676,57774"
"11,DC,DISTRICT OF COLUMBIA,917,1061,79915"
"45,SC,SOUTH CAROLINA,914,1682,52759"
"26,MI,MICHIGAN,618,978,33831"
"47,TN,TENNESSEE,612,1113,28746"
"41,OR,OREGON,537,792,28812"
"27,MN,MINNESOTA,430,697,27646"
"32,NV,NEVADA,409,600,17102"
"18,IN,INDIANA,403,685,20620"
"29,MO,MISSOURI,352,589,24821"
"55,WI,WISCONSIN,333,554,19583"
"22,LA,LOUISIANA,319,506,12471"
"15,HI,HAWAII,290,432,15000"
"01,AL,ALABAMA,256,476,11950"
"35,NM,NEW MEXICO,254,385,11921"
"49,UT,UTAH,254,451,14084"
"19,IA,IOWA,227,386,8867"
"21,KY,KENTUCKY,220,408,10738"
"40,OK,OKLAHOMA,194,337,9033"
"20,KS,KANSAS,174,324,10847"
"10,DE,DELAWARE,151,266,6860"
"02,AK,ALASKA,142,232,5939"
"28,MS,MISSISSIPPI,126,207,3970"
"05,AR,ARKANSAS,116,208,5654"
"30,MT,MONTANA,110,150,4439"
"54,WV,WEST VIRGINIA,104,179,4277"
"31,NE,NEBRASKA,98,180,5212"
"16,ID,IDAHO,72,129,3474"
"56,WY,WYOMING,65,102,3213"
"46,SD,SOUTH DAKOTA,60,98,2061"
"38,ND,NORTH DAKOTA,34,49,1080"
