" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,32-Nevada,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,NV,NV Total Mig - US & For,52522,100145,2031650"
"97,NV,NV Total Mig - US,51392,98102,1978693"
"98,NV,NV Total Mig - Foreign,1130,2043,52957"
"32,NV,NV Non-Migrants,957278,2053771,54369488"
"06,CA,CALIFORNIA,14855,28351,459930"
"48,TX,TEXAS,3605,7396,146146"
"04,AZ,ARIZONA,3586,7067,150175"
"53,WA,WASHINGTON,2463,4730,113061"
"49,UT,UTAH,2427,5556,93153"
"12,FL,FLORIDA,2151,3702,89374"
"08,CO,COLORADO,1910,3708,86355"
"41,OR,OREGON,1646,2970,57112"
"17,IL,ILLINOIS,1248,2202,52315"
"36,NY,NEW YORK,1205,1884,45161"
"57,FR,Foreign,1130,2043,52957"
"16,ID,IDAHO,1054,2253,39624"
"35,NM,NEW MEXICO,940,1923,39537"
"26,MI,MICHIGAN,787,1407,28861"
"15,HI,HAWAII,784,1452,26355"
"51,VA,VIRGINIA,778,1496,37340"
"39,OH,OHIO,766,1322,30806"
"13,GA,GEORGIA,722,1415,32605"
"37,NC,NORTH CAROLINA,696,1319,29418"
"42,PA,PENNSYLVANIA,689,1159,26163"
"29,MO,MISSOURI,601,1121,22157"
"40,OK,OKLAHOMA,562,1134,21299"
"47,TN,TENNESSEE,497,945,37791"
"55,WI,WISCONSIN,486,788,17614"
"27,MN,MINNESOTA,485,840,26846"
"18,IN,INDIANA,481,882,17092"
"34,NJ,NEW JERSEY,434,715,22950"
"30,MT,MONTANA,425,793,15965"
"20,KS,KANSAS,402,836,21394"
"22,LA,LOUISIANA,388,748,15724"
"56,WY,WYOMING,375,814,15421"
"24,MD,MARYLAND,365,647,15405"
"25,MA,MASSACHUSETTS,364,519,16123"
"02,AK,ALASKA,330,632,13012"
"05,AR,ARKANSAS,312,598,10872"
"45,SC,SOUTH CAROLINA,304,571,12741"
"19,IA,IOWA,298,579,14581"
"31,NE,NEBRASKA,273,538,10923"
"01,AL,ALABAMA,272,555,12239"
"21,KY,KENTUCKY,228,447,8489"
"28,MS,MISSISSIPPI,206,425,5930"
"46,SD,SOUTH DAKOTA,190,347,9058"
"09,CT,CONNECTICUT,186,299,7991"
"38,ND,NORTH DAKOTA,126,226,4618"
"33,NH,NEW HAMPSHIRE,89,156,3848"
"54,WV,WEST VIRGINIA,81,136,3102"
"23,ME,MAINE,72,112,2401"
"11,DC,DISTRICT OF COLUMBIA,69,85,2593"
"44,RI,RHODE ISLAND,67,107,2850"
"50,VT,VERMONT,61,101,2306"
"10,DE,DELAWARE,51,94,1867"
