" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,33-NewHampshire,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,NH,NH Total Mig - US & For,21259,34401,970764"
"97,NH,NH Total Mig - US,20885,33779,954232"
"98,NH,NH Total Mig - Foreign,374,622,16532"
"33,NH,NH Non-Migrants,527531,1083445,34455102"
"25,MA,MASSACHUSETTS,6077,9124,277745"
"12,FL,FLORIDA,1911,3216,93235"
"23,ME,MAINE,1838,3081,73481"
"50,VT,VERMONT,1321,2152,50386"
"36,NY,NEW YORK,1116,1665,47347"
"06,CA,CALIFORNIA,864,1302,42729"
"37,NC,NORTH CAROLINA,689,1211,29482"
"51,VA,VIRGINIA,586,1041,29701"
"09,CT,CONNECTICUT,566,880,29682"
"48,TX,TEXAS,550,1052,29009"
"42,PA,PENNSYLVANIA,432,755,23565"
"57,FR,Foreign,374,622,16532"
"08,CO,COLORADO,368,526,14068"
"04,AZ,ARIZONA,359,570,14770"
"45,SC,SOUTH CAROLINA,336,623,16928"
"13,GA,GEORGIA,307,550,13512"
"34,NJ,NEW JERSEY,304,497,16378"
"44,RI,RHODE ISLAND,259,400,13491"
"53,WA,WASHINGTON,244,400,12114"
"24,MD,MARYLAND,218,387,12641"
"17,IL,ILLINOIS,202,328,12278"
"47,TN,TENNESSEE,189,338,7767"
"39,OH,OHIO,174,323,9016"
"41,OR,OREGON,156,239,5978"
"26,MI,MICHIGAN,122,227,6075"
"55,WI,WISCONSIN,110,207,7188"
"21,KY,KENTUCKY,103,191,3956"
"18,IN,INDIANA,101,174,4057"
"29,MO,MISSOURI,99,193,5918"
"49,UT,UTAH,99,182,4133"
"15,HI,HAWAII,94,152,3862"
"32,NV,NEVADA,92,140,4338"
"11,DC,DISTRICT OF COLUMBIA,88,101,3279"
"27,MN,MINNESOTA,85,157,4946"
"35,NM,NEW MEXICO,83,139,3035"
"01,AL,ALABAMA,80,143,3453"
"02,AK,ALASKA,69,112,2322"
"40,OK,OKLAHOMA,69,125,2061"
"30,MT,MONTANA,67,95,2432"
"22,LA,LOUISIANA,60,97,2085"
"20,KS,KANSAS,57,114,2973"
"19,IA,IOWA,54,95,2072"
"05,AR,ARKANSAS,51,79,1712"
"54,WV,WEST VIRGINIA,42,66,1570"
"10,DE,DELAWARE,38,73,1862"
"28,MS,MISSISSIPPI,38,67,1142"
"56,WY,WYOMING,36,47,1308"
"16,ID,IDAHO,26,46,1011"
"31,NE,NEBRASKA,26,48,1070"
"38,ND,NORTH DAKOTA,15,22,319"
"46,SD,SOUTH DAKOTA,15,27,749"
