" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,35-NewMexico,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,NM,NM Total Mig - US & For,28597,56572,1231987"
"97,NM,NM Total Mig - US,27814,54991,1203095"
"98,NM,NM Total Mig - Foreign,783,1581,28893"
"35,NM,NM Non-Migrants,713850,1522280,34007287"
"48,TX,TEXAS,6744,14345,286143"
"04,AZ,ARIZONA,3536,7205,126935"
"08,CO,COLORADO,2547,4742,108100"
"06,CA,CALIFORNIA,2501,4322,111529"
"12,FL,FLORIDA,949,1750,48348"
"53,WA,WASHINGTON,787,1431,37723"
"57,FR,Foreign,783,1581,28893"
"40,OK,OKLAHOMA,744,1616,31285"
"32,NV,NEVADA,678,1281,28953"
"51,VA,VIRGINIA,599,1291,37949"
"49,UT,UTAH,554,1248,20938"
"41,OR,OREGON,493,814,21137"
"37,NC,NORTH CAROLINA,485,985,21429"
"36,NY,NEW YORK,414,668,18554"
"13,GA,GEORGIA,396,783,15616"
"17,IL,ILLINOIS,387,709,16514"
"20,KS,KANSAS,351,798,14528"
"29,MO,MISSOURI,342,661,13599"
"39,OH,OHIO,315,635,16004"
"42,PA,PENNSYLVANIA,273,495,16732"
"24,MD,MARYLAND,267,523,14967"
"47,TN,TENNESSEE,267,533,12808"
"26,MI,MICHIGAN,248,485,9775"
"05,AR,ARKANSAS,240,482,8870"
"22,LA,LOUISIANA,240,482,10829"
"45,SC,SOUTH CAROLINA,228,505,11612"
"16,ID,IDAHO,219,484,10461"
"27,MN,MINNESOTA,214,387,9315"
"01,AL,ALABAMA,211,475,11870"
"55,WI,WISCONSIN,207,351,8071"
"56,WY,WYOMING,202,445,9104"
"25,MA,MASSACHUSETTS,198,297,9432"
"18,IN,INDIANA,192,333,8576"
"02,AK,ALASKA,188,399,7607"
"30,MT,MONTANA,177,345,8056"
"31,NE,NEBRASKA,156,327,5843"
"15,HI,HAWAII,152,303,6239"
"21,KY,KENTUCKY,142,283,5405"
"34,NJ,NEW JERSEY,135,205,5724"
"19,IA,IOWA,129,246,4653"
"46,SD,SOUTH DAKOTA,117,270,5166"
"09,CT,CONNECTICUT,90,151,4333"
"28,MS,MISSISSIPPI,90,188,4152"
"38,ND,NORTH DAKOTA,79,170,3509"
"11,DC,DISTRICT OF COLUMBIA,78,85,2777"
"23,ME,MAINE,65,120,3106"
"33,NH,NEW HAMPSHIRE,54,91,2528"
"54,WV,WEST VIRGINIA,45,94,1586"
"50,VT,VERMONT,36,52,1954"
"44,RI,RHODE ISLAND,29,51,1886"
"10,DE,DELAWARE,24,50,866"
