" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,41-Oregon,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,OR,OR Total Mig - US & For,44736,80782,1866606"
"97,OR,OR Total Mig - US,43795,79169,1827207"
"98,OR,OR Total Mig - Foreign,941,1613,39399"
"41,OR,OR Non-Migrants,1357805,2861312,74523161"
"53,WA,WASHINGTON,11369,20986,497243"
"06,CA,CALIFORNIA,8666,15373,343538"
"04,AZ,ARIZONA,2264,4134,92871"
"16,ID,IDAHO,1992,4065,68154"
"48,TX,TEXAS,1900,3774,83580"
"08,CO,COLORADO,1433,2494,57521"
"32,NV,NEVADA,1333,2316,55306"
"49,UT,UTAH,946,1926,39353"
"57,FR,Foreign,941,1613,39399"
"12,FL,FLORIDA,914,1562,38247"
"36,NY,NEW YORK,840,1161,32804"
"30,MT,MONTANA,744,1340,27029"
"02,AK,ALASKA,724,1294,27173"
"15,HI,HAWAII,684,1097,25034"
"17,IL,ILLINOIS,637,1022,29183"
"37,NC,NORTH CAROLINA,591,1117,29663"
"51,VA,VIRGINIA,518,920,24238"
"27,MN,MINNESOTA,471,785,18935"
"35,NM,NEW MEXICO,443,762,17405"
"13,GA,GEORGIA,409,796,16650"
"47,TN,TENNESSEE,406,749,15798"
"25,MA,MASSACHUSETTS,399,602,19304"
"29,MO,MISSOURI,388,715,11706"
"42,PA,PENNSYLVANIA,381,629,17268"
"40,OK,OKLAHOMA,368,712,11059"
"26,MI,MICHIGAN,365,638,12702"
"39,OH,OHIO,363,619,16599"
"56,WY,WYOMING,359,674,45974"
"45,SC,SOUTH CAROLINA,342,644,18872"
"55,WI,WISCONSIN,322,552,11512"
"18,IN,INDIANA,298,533,12790"
"19,IA,IOWA,271,523,21630"
"24,MD,MARYLAND,264,461,12470"
"20,KS,KANSAS,258,494,8421"
"22,LA,LOUISIANA,232,386,-8040"
"05,AR,ARKANSAS,197,396,5271"
"31,NE,NEBRASKA,177,330,6542"
"21,KY,KENTUCKY,171,344,6096"
"34,NJ,NEW JERSEY,165,289,6637"
"01,AL,ALABAMA,158,331,7014"
"11,DC,DISTRICT OF COLUMBIA,153,177,6213"
"09,CT,CONNECTICUT,139,209,6821"
"46,SD,SOUTH DAKOTA,133,218,5511"
"38,ND,NORTH DAKOTA,119,208,4497"
"23,ME,MAINE,100,165,5832"
"33,NH,NEW HAMPSHIRE,93,154,5268"
"28,MS,MISSISSIPPI,81,164,2699"
"50,VT,VERMONT,79,107,2435"
"54,WV,WEST VIRGINIA,60,99,1431"
"44,RI,RHODE ISLAND,48,75,1517"
"10,DE,DELAWARE,28,48,1432"
