" 2008- 2009 State To State Migration Flows - OUTFLOW,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5"
" (Aggregate Money Amounts Are In Thousands),,,,,"
",,,,,"
"FROM:,46-SouthDakota,,,,AGGREGATE"
",,,,,ADJUSTED"
",,,NUMBER OF,NUMBER OF,GROSS"
",,,RETURNS,EXEMPTIONS,INCOME"
"TO:,,,,,"
"96,SD,SD Total Mig - US & For,11404,20699,436216"
"97,SD,SD Total Mig - US,11166,20228,429352"
"98,SD,SD Total Mig - Foreign,238,471,6864"
"46,SD,SD Non-Migrants,309148,657779,16592120"
"27,MN,MINNESOTA,1533,2552,61148"
"31,NE,NEBRASKA,893,1636,31129"
"19,IA,IOWA,889,1628,33427"
"38,ND,NORTH DAKOTA,739,1367,26214"
"08,CO,COLORADO,666,1058,24015"
"56,WY,WYOMING,662,1219,26277"
"48,TX,TEXAS,599,1172,22664"
"04,AZ,ARIZONA,501,900,21170"
"06,CA,CALIFORNIA,472,821,15668"
"12,FL,FLORIDA,316,579,14683"
"53,WA,WASHINGTON,290,528,9856"
"30,MT,MONTANA,248,447,8322"
"57,FR,Foreign,238,471,6864"
"29,MO,MISSOURI,228,448,8302"
"55,WI,WISCONSIN,226,427,10063"
"20,KS,KANSAS,221,371,7751"
"32,NV,NEVADA,164,291,7532"
"17,IL,ILLINOIS,163,279,6434"
"40,OK,OKLAHOMA,158,324,7181"
"37,NC,NORTH CAROLINA,156,292,5372"
"41,OR,OREGON,149,248,4222"
"51,VA,VIRGINIA,136,266,7239"
"35,NM,NEW MEXICO,124,231,4041"
"49,UT,UTAH,120,222,4523"
"39,OH,OHIO,118,235,4930"
"36,NY,NEW YORK,114,202,4065"
"13,GA,GEORGIA,109,193,5300"
"47,TN,TENNESSEE,107,198,3894"
"02,AK,ALASKA,99,220,4894"
"16,ID,IDAHO,95,193,3892"
"18,IN,INDIANA,85,173,3560"
"42,PA,PENNSYLVANIA,84,152,3175"
"26,MI,MICHIGAN,82,149,2921"
"45,SC,SOUTH CAROLINA,72,162,3059"
"05,AR,ARKANSAS,68,149,2177"
"21,KY,KENTUCKY,54,98,1975"
"22,LA,LOUISIANA,54,99,1931"
"24,MD,MARYLAND,54,93,2457"
"01,AL,ALABAMA,49,113,2443"
"15,HI,HAWAII,40,73,1488"
"25,MA,MASSACHUSETTS,38,70,1951"
"28,MS,MISSISSIPPI,37,73,1134"
"34,NJ,NEW JERSEY,37,68,1775"
"11,DC,DISTRICT OF COLUMBIA,20,22,671"
"09,CT,CONNECTICUT,19,36,1586"
"54,WV,WEST VIRGINIA,18,32,569"
"23,ME,MAINE,17,33,640"
"33,NH,NEW HAMPSHIRE,17,36,931"
"50,VT,VERMONT,12,21,278"
"10,DE,DELAWARE,11,19,332"
"44,RI,RHODE ISLAND,3,10,88"
